prefix,expression,term_count,constant_count,operator_count,epoch_90,best_reward,mean_reward,top_reward
Y sqrt x,log(x),1,0,1
Y sqrt x,sqrt(x),1,0,1
Y x,x,1,0,0
Y mul div INT+ 1 INT+ 2 pow x INT+ 2,x**2/2,2,1,2
Y mul INT+ 2 x,2*x,2,1,1
Y pow x INT+ 2,x[0]**2,1,0,1
Y mul INT+ 2 pow x INT+ 2,2*x**2,2,1,2
Y mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3,2,1,2
Y add pow x INT+ 2 mul INT+ 2 x,x**2 + 2*x,3,1,3
Y add pow x INT+ 2 mul div INT+ 1 INT+ 3 pow x INT+ 3,x**3/3 + x**2,3,1,4
Y mul INT+ 2 pow x INT+ 3,2*x**3,2,1,2
Y mul div INT+ 1 INT+ 2 pow x INT+ 4,x**4/2,2,1,2
Y mul INT+ 4 pow x INT+ 2,4*x**2,2,1,2
Y mul div INT+ 4 INT+ 3 pow x INT+ 3,4*x**3/3,2,1,2
Y add x mul INT+ 2 pow x INT+ 2,2*x**2 + x,3,1,3
Y add mul div INT+ 1 INT+ 2 pow x INT+ 2 mul div INT+ 2 INT+ 3 pow x INT+ 3,2*x**3/3 + x**2/2,4,2,5
Y mul INT+ 3 pow x INT+ 2,3*x**2,2,1,2
Y pow x INT+ 3,x**3,1,0,1
Y mul x add x pow x INT+ 2,x*(x**2 + x),3,0,3
Y add mul div INT+ 1 INT+ 3 pow x INT+ 3 mul div INT+ 1 INT+ 4 pow x INT+ 4,x**4/4 + x**3/3,4,2,5
Y mul div INT+ 2 INT+ 3 pow x div INT+ 3 INT+ 2,2*x**(3/2)/3,2,1,2
Y ex[0]p x,exp(x),1,0,1
Y exp x,exp(x),1,0,1
Y cos x,cos(x),1,0,1
Y sin x,sin(x),1,0,1
Y sin x,sin(x),1,0,1
Y mul INT- 1 cos x,-cos(x),2,1,2
Y tan x,tan(x),1,0,1
Y mul INT- 1 ln cos x,-log(cos(x)),2,1,2
Y mul INT+ 3 x,3*x,2,1,1
Y mul div INT+ 3 INT+ 2 pow x INT+ 2,3*x**2/2,2,1,2
Y mul div INT+ 1 INT+ 2 x,x/2,2,1,1
Y mul div INT+ 1 INT+ 4 pow x INT+ 2,x**2/4,2,1,2
Y add x sqrt x,sqrt(x) + x,2,0,2
