 Nguyen-5_0_0,x + tan(x),tensor(0.2285),-10.400959550225325
 Nguyen-5_0_1,x**4 + 2*x,tensor(0.2201),-11.559474019011617
 Nguyen-5_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0636dc0>>
 Nguyen-5_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481cfc40>>
 Nguyen-5_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00e9a60>>
 Nguyen-5_0_5,3*atanh(x),tensor(0.1390),-37.38217004889773
 Nguyen-5_0_6,log(16*x**4),tensor(0.0931),-93.8143848425195
 Nguyen-5_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00d0ca0>>
 Nguyen-5_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00d0640>>
 Nguyen-5_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00d05e0>>
 Nguyen-5_0_10,0,tensor(0.),0
 Nguyen-5_0_11,x*(x + asinh(x)),tensor(0.1748),-21.300526980282537
 Nguyen-5_0_12,x*(4*x + 4),tensor(0.1121),-61.760113749170216
 Nguyen-5_0_13,-x + 2*exp(x),tensor(0.1048),-72.0039419970781
 Nguyen-5_0_14,3*x + 3,tensor(0.0876),-107.42656570538222
 Nguyen-5_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd508115df0>>
 Nguyen-5_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280389d0>>
 Nguyen-5_0_17,6*x**5,tensor(0.1802),-19.696452743408805
 Nguyen-5_0_18,x - sinh(x),tensor(0.2574),-7.326226816407807
 Nguyen-5_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987de6a0>>
 Nguyen-5_0_20,x*(x + sin(2*x)),tensor(0.1646),-24.765749234500195
 Nguyen-5_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05ef040>>
 Nguyen-5_0_22,cos(x) + 2,tensor(0.0920),-96.51138250710477
 Nguyen-5_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03e4a60>>
 Nguyen-5_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd498788a60>>
 Nguyen-5_0_25,3*x + log(x),tensor(0.),0
 Nguyen-5_0_26,x**2*exp(5),tensor(0.0056),-31023.40398134625
 Nguyen-5_0_27,4*exp(4*x),tensor(0.0076),-17188.1125278083
 Nguyen-5_0_28,x*(x**2 + sin(x)),tensor(0.2247),-10.909220231454334
 Nguyen-5_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54812fd30>>
 Nguyen-5_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03e42b0>>
 Nguyen-5_0_31,1/log(x),tensor(0.),0
 Nguyen-5_0_32,x**2 - x/2,tensor(0.1958),-15.86805380910684
 Nguyen-5_0_33,8*x**3,tensor(0.1207),-52.04887314921241
 Nguyen-5_0_34,x/tan(2*x),tensor(0.2287),-10.3715043839123
 Nguyen-5_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0376bb0>>
 Nguyen-5_0_36,x*acosh(x + 2),tensor(0.2386),-9.183330897292667
 Nguyen-5_0_37,2*x**3 + x,tensor(0.2272),-10.565683011886605
 Nguyen-5_0_38,x - tanh(x),tensor(0.2685),-6.424408425491818
 Nguyen-5_0_39,x**3*acos(2)/3,tensor(0.),0
 Nguyen-5_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e056e7c0>>
 Nguyen-5_0_41,exp(x + 4),tensor(0.0055),-33013.884044269
 Nguyen-5_0_42,2*x*(x + 5),tensor(0.0655),-202.70780534556997
 Nguyen-5_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053eb50>>
 Nguyen-5_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00ea250>>
 Nguyen-5_0_45,4*x**2 - x,tensor(0.1165),-56.48122328872598
 Nguyen-5_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987b85b0>>
 Nguyen-5_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987b8d90>>
 Nguyen-5_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987b8220>>
 Nguyen-5_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987b8b20>>
 Nguyen-5_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987b8c40>>
 Nguyen-5_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4987b87f0>>
 Nguyen-5_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00d9c40>>
 Nguyen-5_0_53,sqrt(x) + x**3,tensor(0.),0
 Nguyen-5_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00d0790>>
 Nguyen-5_0_55,cos(x)**5,tensor(0.1962),-15.780570699957604
 Nguyen-5_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281785b0>>
 Nguyen-5_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281780d0>>
 Nguyen-5_0_58,-x*cos(x) + x,tensor(0.2725),-6.125378871813039
 Nguyen-5_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680ed730>>
 Nguyen-5_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc08d880>>
 Nguyen-5_0_61,2*x + exp(x),tensor(0.1362),-39.23998087734944
 Nguyen-5_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc08dbb0>>
 Nguyen-5_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528178850>>
 Nguyen-5_0_64,exp(x + 2),tensor(0.0367),-686.947419928284
 Nguyen-5_0_65,x**2 + exp(x),tensor(0.1333),-41.28884783246789
 Nguyen-5_0_66,5*x*exp(x),tensor(0.0794),-133.4954650728163
 Nguyen-5_0_67,x**2 + x + 3,tensor(0.0831),-120.68897182464403
 Nguyen-5_0_68,5*x*(x + 1),tensor(0.0943),-91.19294016004841
 Nguyen-5_0_69,cos(x)**2,tensor(0.1795),-19.891661199924936
 Nguyen-5_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281784c0>>
 Nguyen-5_0_71,-5*tan(2*x),tensor(0.0018),-320640.49518893793
 Nguyen-5_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038e80>>
 Nguyen-5_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4a00d09d0>>
 Nguyen-5_0_74,x*exp(2*x) + x,tensor(0.1283),-45.14992130424716
 Nguyen-5_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc0802b0>>
 Nguyen-5_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1cba30>>
 Nguyen-5_0_77,4*cos(x)*cosh(x),tensor(0.0742),-154.54909151187516
 Nguyen-5_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280804f0>>
 Nguyen-5_0_79,x + atanh(x),tensor(0.2173),-11.970182033383187
 Nguyen-5_0_80,2*cosh(x),tensor(0.1025),-75.70349550558646
 Nguyen-5_0_81,x**4/8,tensor(0.2576),-7.308015279939452
 Nguyen-5_0_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6f40>>
 Nguyen-5_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568087fa0>>
 Nguyen-5_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e049adf0>>
