Square Root with Quadratic Term_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e055f340>>
Square Root with Quadratic Term_0_1,x**4 + 4*x,tensor(0.0643),-210.81274764947534
Square Root with Quadratic Term_0_2,x/74,tensor(0.0838),-118.57499177255626
Square Root with Quadratic Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc074220>>
Square Root with Quadratic Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54816a1c0>>
Square Root with Quadratic Term_0_5,3*x*(x + 4),tensor(0.0322),-900.2508271714415
Square Root with Quadratic Term_0_6,log(16*x**4),tensor(0.0439),-472.21139296787806
Square Root with Quadratic Term_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e052c580>>
Square Root with Quadratic Term_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1cb6d0>>
Square Root with Quadratic Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1cb340>>
Square Root with Quadratic Term_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e910>>
Square Root with Quadratic Term_0_11,x*(x + tan(6)),tensor(0.0936),-92.81314678018167
Square Root with Quadratic Term_0_12,9*x**2/8,tensor(0.0946),-90.66480324555492
Square Root with Quadratic Term_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e06fdd90>>
Square Root with Quadratic Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0532b20>>
Square Root with Quadratic Term_0_15,(x**2 + x)**4,tensor(0.0699),-176.22587357374167
Square Root with Quadratic Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053eee0>>
Square Root with Quadratic Term_0_17,6*x**5,tensor(0.0682),-185.58826929976934
Square Root with Quadratic Term_0_18,x - sin(x - 4),tensor(0.0652),-204.7066643520971
Square Root with Quadratic Term_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548135c40>>
Square Root with Quadratic Term_0_20,x*(x*sin(4) + x),tensor(0.0861),-111.74901844294449
Square Root with Quadratic Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568087a90>>
Square Root with Quadratic Term_0_22,cos(x) + 2,tensor(0.5954),0.5384005282425233
Square Root with Quadratic Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481842b0>>
Square Root with Quadratic Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc0800a0>>
Square Root with Quadratic Term_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e06d1310>>
Square Root with Quadratic Term_0_26,x**2*exp(2*x),tensor(0.0892),-103.24963889702587
Square Root with Quadratic Term_0_27,4*x**4,tensor(0.0990),-81.90016939650081
Square Root with Quadratic Term_0_28,x*(x**2 + sin(x)),tensor(0.0905),-100.03002670755929
Square Root with Quadratic Term_0_29,9*x*tan(x),tensor(0.0544),-300.73923393806564
Square Root with Quadratic Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1b8070>>
Square Root with Quadratic Term_0_31,1/log(x),tensor(0.),0
Square Root with Quadratic Term_0_32,x**2 + x/2,tensor(0.0920),-96.47774475939995
Square Root with Quadratic Term_0_33,8*x**3,tensor(0.0545),-300.0760839250011
Square Root with Quadratic Term_0_34,x*(x**2 + x)**(3*x),tensor(0.),0
Square Root with Quadratic Term_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1b04c0>>
Square Root with Quadratic Term_0_36,x*(x + sin(x)),tensor(0.1022),-76.21734779748886
Square Root with Quadratic Term_0_37,x*(x + sin(x) + 2),tensor(0.0890),-103.7498776110889
Square Root with Quadratic Term_0_38,x - tanh(x),tensor(0.0835),-119.48477318609308
Square Root with Quadratic Term_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1b0c40>>
Square Root with Quadratic Term_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6880>>
Square Root with Quadratic Term_0_41,exp(x + 4),tensor(0.0036),-76173.11279199268
Square Root with Quadratic Term_0_42,4*x*(x**3 + x),tensor(0.0901),-101.01088588752208
Square Root with Quadratic Term_0_43,x**(1/6) + exp(x),tensor(0.),0
Square Root with Quadratic Term_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481690a0>>
Square Root with Quadratic Term_0_45,4*x**2 - x,tensor(0.1093),-65.44416980017941
Square Root with Quadratic Term_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0779ee0>>
Square Root with Quadratic Term_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080bef10>>
Square Root with Quadratic Term_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b8af0>>
Square Root with Quadratic Term_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481dbdc0>>
