Absolute Value_0_0,x + tan(x),tensor(0.1743),-21.433991330247977
Absolute Value_0_1,x + asin(x),tensor(0.1766),-20.749997886560788
Absolute Value_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26ed0f10>>
Absolute Value_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2750a550>>
Absolute Value_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2773c2b0>>
Absolute Value_0_5,2*sin(x),tensor(0.1843),-18.58250547063505
Absolute Value_0_6,3*x*log(2),tensor(0.1786),-20.140600864102453
Absolute Value_0_7,sinh(x)/2,tensor(0.2093),-13.27900113912986
Absolute Value_0_8,x*(2*x + 4),tensor(0.1280),-45.37875665176034
Absolute Value_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271af430>>
Absolute Value_0_10,x*cosh(x),tensor(0.1945),-16.156972198539705
Absolute Value_0_11,x*log(x**2) - 26*x,tensor(0.0371),-674.2969268359739
Absolute Value_0_12,tanh(x)/2,tensor(0.2114),-12.911073724501763
Absolute Value_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c083220>>
Absolute Value_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26ebdc70>>
Absolute Value_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26ebdd90>>
Absolute Value_0_16,x**2*cos(5),tensor(0.2102),-13.119347605248658
Absolute Value_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c187c40>>
Absolute Value_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271be970>>
Absolute Value_0_19,x*(2 - x),tensor(0.1934),-16.39077941013182
Absolute Value_0_20,x*(2*x + sin(x)),tensor(0.1556),-28.4391441014497
Absolute Value_0_21,2*cosh(x),tensor(0.1160),-57.11557633215266
Absolute Value_0_22,x*(x + tan(x)),tensor(0.1658),-24.303329493952074
Absolute Value_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1be0>>
Absolute Value_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fa06d0>>
Absolute Value_0_25,x**6 + 3*x,tensor(0.1558),-28.376127538779954
Absolute Value_0_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc16d100>>
Absolute Value_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271bec40>>
Absolute Value_0_28,x*(x + 3) + 2*x,tensor(0.1222),-50.6083141302179
Absolute Value_0_29,x*(3*x**3 + sin(x)),tensor(0.1559),-28.325231625023257
Absolute Value_0_30,x**2*cos(4),tensor(0.2348),-9.615297281026779
Absolute Value_0_31,x + log(5),tensor(0.1325),-41.86455586487874
Absolute Value_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271c6280>>
Absolute Value_0_33,asin(x + 2),tensor(0.),0
Absolute Value_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d275f7580>>
Absolute Value_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8100>>
Absolute Value_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40265700>>
Absolute Value_0_37,-log(cos(x)),tensor(0.2032),-14.373917756273771
Absolute Value_0_38,sqrt(x + 1),tensor(0.1582),-27.326490301074653
Absolute Value_0_39,x**2 + x + 1,tensor(0.1407),-36.29616621860258
Absolute Value_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d26ebd9d0>>
Absolute Value_0_41,(-x + tan(x))/x,tensor(0.2060),-13.853360491201054
Absolute Value_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2763ce50>>
Absolute Value_0_43,x*(x**2 + x),tensor(0.1865),-18.020938566519728
