Polynomial with Exponential Term_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01fc089730>>
Polynomial with Exponential Term_0_1,2*x**3 + x,tensor(0.2112),-12.942597510074737
Polynomial with Exponential Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01b8188cd0>>
Polynomial with Exponential Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01965c2850>>
Polynomial with Exponential Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f0196275040>>
Polynomial with Exponential Term_0_5,2*x**2,tensor(0.2205),-11.496979849419114
Polynomial with Exponential Term_0_6,3*x*log(1/x),tensor(0.),0
Polynomial with Exponential Term_0_7,(x + 3)*sin(x),tensor(0.2175),-11.94317696106798
Polynomial with Exponential Term_0_8,x*(2*x + 4),tensor(0.2254),-10.813087364279527
Polynomial with Exponential Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01963c7400>>
Polynomial with Exponential Term_0_10,x*cosh(x),tensor(0.2102),-13.114052208213238
Polynomial with Exponential Term_0_11,3*x**2 - 26*x,tensor(0.1161),-56.90578383338676
Polynomial with Exponential Term_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dbaee80>>
Polynomial with Exponential Term_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dc273a0>>
Polynomial with Exponential Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018bedf5b0>>
Polynomial with Exponential Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01fc0b33a0>>
Polynomial with Exponential Term_0_16,x**2*cos(5),tensor(0.2096),-13.224106371887391
Polynomial with Exponential Term_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018be77760>>
Polynomial with Exponential Term_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018be77370>>
Polynomial with Exponential Term_0_19,x*(x + acos(x) + 2),tensor(0.2106),-13.056402228197323
Polynomial with Exponential Term_0_20,(x - 4)*exp(x),tensor(0.1499),-31.142337484704015
Polynomial with Exponential Term_0_21,2*cosh(x),tensor(0.2568),-7.37908231414495
Polynomial with Exponential Term_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dc27280>>
Polynomial with Exponential Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01962b7130>>
Polynomial with Exponential Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f0196275e50>>
Polynomial with Exponential Term_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01964a5550>>
Polynomial with Exponential Term_0_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dec9cd0>>
Polynomial with Exponential Term_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dec9130>>
Polynomial with Exponential Term_0_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018be9fe20>>
Polynomial with Exponential Term_0_29,3*x**4/2 + x,tensor(0.2156),-12.22956119012776
Polynomial with Exponential Term_0_30,x**2*atan(4),tensor(0.2161),-12.152829356770248
Polynomial with Exponential Term_0_31,x + 3*log(2),tensor(0.2528),-7.736548190881523
Polynomial with Exponential Term_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018dc2c9d0>>
Polynomial with Exponential Term_0_33,1/log(x),tensor(0.),0
Polynomial with Exponential Term_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01964b82b0>>
Polynomial with Exponential Term_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01963237c0>>
Polynomial with Exponential Term_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f0196323250>>
Polynomial with Exponential Term_0_37,-log(cos(x)),tensor(0.2113),-12.928175184867536
Polynomial with Exponential Term_0_38,sqrt(2*x + 1),tensor(0.),0
Polynomial with Exponential Term_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018bebf580>>
Polynomial with Exponential Term_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f018be8d3d0>>
Polynomial with Exponential Term_0_41,(-x + exp(x))/x,tensor(0.0149),-4390.8492520608825
Polynomial with Exponential Term_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f019629c970>>
Polynomial with Exponential Term_0_43,x*(x**2 + x),tensor(0.2154),-12.262664844873926
Polynomial with Exponential Term_0_44,2*x + atan(x),tensor(0.2116),-12.879231725044953
Polynomial with Exponential Term_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f021c16f7f0>>
Polynomial with Exponential Term_0_46,2*x*(x + 1),tensor(0.2244),-10.940547821492572
Polynomial with Exponential Term_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f0196284130>>
Polynomial with Exponential Term_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f01963c7fa0>>
