Cubic Polynomial_0_0,x + tan(x),tensor(0.2331),-9.825885976042676
Cubic Polynomial_0_1,x**4 + 2*x,tensor(0.2259),-10.739597150951013
Cubic Polynomial_0_2,5*x*(x + 1),tensor(0.1871),-17.88580077190137
Cubic Polynomial_0_3,x*exp(x**2),tensor(0.2325),-9.892286932101374
Cubic Polynomial_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998142760>>
Cubic Polynomial_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360df0>>
Cubic Polynomial_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c280>>
Cubic Polynomial_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1357f0>>
Cubic Polynomial_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43400>>
Cubic Polynomial_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1359d0>>
Cubic Polynomial_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0054790>>
Cubic Polynomial_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0054070>>
Cubic Polynomial_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699803ba60>>
Cubic Polynomial_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b340>>
Cubic Polynomial_0_14,x + acos(x) + 1,tensor(0.1761),-20.881932197212432
Cubic Polynomial_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901b02b0>>
Cubic Polynomial_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a04370>>
Cubic Polynomial_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998351a30>>
Cubic Polynomial_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280c06d0>>
Cubic Polynomial_0_19,3*x*(2 - x),tensor(0.2590),-7.189273947883338
Cubic Polynomial_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981e42b0>>
Cubic Polynomial_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981e44f0>>
Cubic Polynomial_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699829a5e0>>
Cubic Polynomial_0_23,-x - 2,tensor(0.2799),-5.617684472277634
Cubic Polynomial_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0124d90>>
Cubic Polynomial_0_25,3*x + log(x),tensor(0.),0
Cubic Polynomial_0_26,x**2*exp(5),tensor(0.0263),-1374.119616400779
Cubic Polynomial_0_27,3*x*(sqrt(x) + x),tensor(0.),0
Cubic Polynomial_0_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66eeb0>>
Cubic Polynomial_0_29,5*x**4 + x,tensor(0.1997),-15.062032206957763
Cubic Polynomial_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180ee0>>
Cubic Polynomial_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b8310>>
Cubic Polynomial_0_32,sinh(x) + acosh(x),tensor(0.),0
Cubic Polynomial_0_33,1/(x**2*log(x)),tensor(0.),0
Cubic Polynomial_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699812fac0>>
Cubic Polynomial_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900699d0>>
Cubic Polynomial_0_36,x**2 - sin(x),tensor(0.2138),-12.517927093054231
