Exponential Decay with Sine_0_0,x + tan(x),tensor(0.7070),0.8281807797665881
Exponential Decay with Sine_0_1,x**4 + 2*x,tensor(0.6437),0.6936812350498127
Exponential Decay with Sine_0_2,5*x*(x**3 + 1),tensor(0.5055),0.04298302457475156
Exponential Decay with Sine_0_3,2*x**5/5,tensor(0.5085),0.06571892499791765
Exponential Decay with Sine_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958131e80>>
Exponential Decay with Sine_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fa00>>
Exponential Decay with Sine_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900f0820>>
Exponential Decay with Sine_0_7,x**6/6,tensor(0.4964),-0.029574757792777406
Exponential Decay with Sine_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cb77c0>>
Exponential Decay with Sine_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc025a90>>
Exponential Decay with Sine_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc07f6d0>>
Exponential Decay with Sine_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc11c040>>
Exponential Decay with Sine_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc11c2e0>>
Exponential Decay with Sine_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d827c0>>
Exponential Decay with Sine_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b135eb80>>
Exponential Decay with Sine_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b135edf0>>
Exponential Decay with Sine_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05a2b0>>
Exponential Decay with Sine_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc532a00>>
Exponential Decay with Sine_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc532e50>>
Exponential Decay with Sine_0_19,3*x*(x + 2),tensor(0.5034),0.02662029010615763
Exponential Decay with Sine_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990194ca0>>
Exponential Decay with Sine_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990193eb0>>
Exponential Decay with Sine_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901930d0>>
Exponential Decay with Sine_0_23,-3,tensor(0.),0
Exponential Decay with Sine_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc100250>>
Exponential Decay with Sine_0_25,3*x + log(x),tensor(0.),0
Exponential Decay with Sine_0_26,x**2*exp(5),tensor(0.0308),-992.2497796219595
Exponential Decay with Sine_0_27,3*x*(sqrt(x) + x),tensor(0.),0
Exponential Decay with Sine_0_28,x**3 + sin(x),tensor(0.6187),0.6203013864172147
Exponential Decay with Sine_0_29,5*x**4 + x,tensor(0.4555),-0.4284215043573125
Exponential Decay with Sine_0_30,x*(x + 2),tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b15f1970>>
Exponential Decay with Sine_0_32,cos(x) + acos(x),tensor(0.3532),-2.353227761742719
Exponential Decay with Sine_0_33,1/(x**2*log(x)),tensor(0.),0
Exponential Decay with Sine_0_34,8,tensor(0.),0
Exponential Decay with Sine_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699824c070>>
Exponential Decay with Sine_0_36,exp(x**2),tensor(0.4273),-0.7970082647190082
Exponential Decay with Sine_0_37,x*exp(x) + x,tensor(0.6465),0.7009412125525506
Exponential Decay with Sine_0_38,x*(x + sin(x) + 2),tensor(0.5796),0.4739622316583978
Exponential Decay with Sine_0_39,x - tanh(x),tensor(0.5078),0.06029767814365561
Exponential Decay with Sine_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc74a580>>
Exponential Decay with Sine_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016ac40>>
Exponential Decay with Sine_0_42,atan(6*x),tensor(0.6578),0.7294576167022552
Exponential Decay with Sine_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1fdc10>>
Exponential Decay with Sine_0_44,x + atanh(x),tensor(0.7210),0.8503339753273205
Exponential Decay with Sine_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981b4f40>>
Exponential Decay with Sine_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c760>>
Exponential Decay with Sine_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c85a60>>
Exponential Decay with Sine_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c85b50>>
Exponential Decay with Sine_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c85700>>
Exponential Decay with Sine_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c85dc0>>
Exponential Decay with Sine_0_51,x**2/2,tensor(0.4910),-0.07425077434155858
Exponential Decay with Sine_0_52,-1/x**2,tensor(0.0003),-8805528.651631186
Exponential Decay with Sine_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc487af0>>
Exponential Decay with Sine_0_54,tan(x + 2),tensor(0.0258),-1425.3669578282609
Exponential Decay with Sine_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80dd2b0>>
Exponential Decay with Sine_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18ba60>>
Exponential Decay with Sine_0_57,x - cos(x),tensor(0.5602),0.3837968269181927
Exponential Decay with Sine_0_58,4*x + 1,tensor(0.6279),0.6488440345434464
Exponential Decay with Sine_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25a9c70>>
Exponential Decay with Sine_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25a9370>>
Exponential Decay with Sine_0_61,-cosh(x),tensor(0.4829),-0.14656434761337112
Exponential Decay with Sine_0_62,x**2 + 2*x,tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4a00>>
Exponential Decay with Sine_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc504b20>>
Exponential Decay with Sine_0_65,x**2 + x + 8,tensor(0.1966),-15.699788386190683
Exponential Decay with Sine_0_66,x**2 + exp(x),tensor(0.4669),-0.3040986159156691
Exponential Decay with Sine_0_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25487f0>>
Exponential Decay with Sine_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0124af0>>
Exponential Decay with Sine_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0124220>>
Exponential Decay with Sine_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8098040>>
Exponential Decay with Sine_0_71,x + atan(x),tensor(0.6587),0.7314906971482025
Exponential Decay with Sine_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e008f9a0>>
Exponential Decay with Sine_0_73,sin(2*x + 9),tensor(0.4274),-0.7954627712394184
Exponential Decay with Sine_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901ab6a0>>
Exponential Decay with Sine_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901936d0>>
Exponential Decay with Sine_0_76,x**4/3,tensor(0.4947),-0.04364585795553366
Exponential Decay with Sine_0_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990193bb0>>
Exponential Decay with Sine_0_78,exp(x + 1),tensor(0.3774),-1.7218022026979312
Exponential Decay with Sine_0_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18e9f70>>
Exponential Decay with Sine_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901ab370>>
Exponential Decay with Sine_0_81,x*(x + 2),tensor(0.6289),0.6516632473951229
Exponential Decay with Sine_0_82,x + atanh(x),tensor(0.7210),0.8503339753273205
Exponential Decay with Sine_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f46bb0>>
Exponential Decay with Sine_0_84,x + 3,tensor(0.3707),-1.8829595562006665
Exponential Decay with Sine_0_85,x**7/7,tensor(0.5003),0.002590813484653731
Exponential Decay with Sine_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b135ec70>>
Exponential Decay with Sine_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e008fd90>>
Exponential Decay with Sine_0_88,x**3/16,tensor(0.4998),-0.0018750687404192057
Exponential Decay with Sine_0_89,2*x*(x + sin(x)),tensor(0.4163),-0.9666814814380305
Exponential Decay with Sine_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0124fa0>>
Exponential Decay with Sine_0_91,x**2*cos(1),tensor(0.4904),-0.07943949740871137
Exponential Decay with Sine_0_92,sin(x),tensor(0.5652),0.4084067057877575
Exponential Decay with Sine_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f564f0>>
Exponential Decay with Sine_0_94,log(x + 3),tensor(0.4731),-0.24007796704895412
Exponential Decay with Sine_0_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44c460>>
Exponential Decay with Sine_0_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29ffc70>>
Exponential Decay with Sine_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2790>>
Exponential Decay with Sine_0_98,exp(x/8),tensor(0.4664),-0.30922056831376543
Exponential Decay with Sine_0_99,x + exp(3),tensor(0.0953),-89.21852736978038
Exponential Decay with Sine_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b283b6d0>>
Exponential Decay with Sine_0_101,x**2/2,tensor(0.4910),-0.07425077434155858
Exponential Decay with Sine_0_102,-5*x + exp(x),tensor(0.3137),-3.7847386882728298
Exponential Decay with Sine_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b15f1670>>
Exponential Decay with Sine_0_104,2*x**3/3 + sinh(x),tensor(0.6187),0.620337868321688
Exponential Decay with Sine_0_105,tan(2*x),tensor(0.0071),-19651.746579032282
Exponential Decay with Sine_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2555ca0>>
Exponential Decay with Sine_0_107,2 - 2*x,tensor(0.3460),-2.573327927289263
Exponential Decay with Sine_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b15f1700>>
Exponential Decay with Sine_0_109,tanh(x)/2,tensor(0.5269),0.19400917260080475
Exponential Decay with Sine_0_110,x + sin(3),tensor(0.5686),0.42425751868057215
Exponential Decay with Sine_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930091460>>
Exponential Decay with Sine_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6580>>
Exponential Decay with Sine_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5ea90>>
Exponential Decay with Sine_0_114,atan(3*x),tensor(0.6276),0.6479239851255494
Exponential Decay with Sine_0_115,x + cos(2*x),tensor(0.5544),0.35405319568602933
Exponential Decay with Sine_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1350b50>>
Exponential Decay with Sine_0_117,2*x**2*exp(x),tensor(0.4994),-0.004941528571212661
Exponential Decay with Sine_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c60d0>>
Exponential Decay with Sine_0_119,x*exp(-1),tensor(0.5229),0.16765200596036056
Exponential Decay with Sine_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc54dd00>>
Exponential Decay with Sine_0_121,exp(4*x)/4,tensor(0.4254),-0.8242622813876135
Exponential Decay with Sine_0_122,x + 1/(x + 3),tensor(0.5492),0.32621740048158376
Exponential Decay with Sine_0_123,x,tensor(0.5735),0.44677196358720206
Exponential Decay with Sine_0_124,(x + 1)*sin(x),tensor(0.5452),0.3043474614370182
Exponential Decay with Sine_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc11c070>>
Exponential Decay with Sine_0_126,(x + 2)**4,tensor(0.0637),-215.17518143681912
Exponential Decay with Sine_0_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016a190>>
Exponential Decay with Sine_1_0,x*(-x**2 + x),tensor(0.4490),-0.5063020428321114
Exponential Decay with Sine_1_1,x/4,tensor(0.5144),0.10908627223884992
Exponential Decay with Sine_1_2,x*atan(x),tensor(0.4856),-0.12191850857488329
Exponential Decay with Sine_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18faa60>>
Exponential Decay with Sine_1_4,exp(acos(x)),tensor(0.1924),-16.61658752575152
Exponential Decay with Sine_1_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581abb80>>
Exponential Decay with Sine_1_6,x + x/(x + 5),tensor(0.5927),0.5276488232552108
Exponential Decay with Sine_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180ac0>>
Exponential Decay with Sine_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81809a0>>
Exponential Decay with Sine_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180a60>>
Exponential Decay with Sine_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180760>>
Exponential Decay with Sine_1_11,x + 1,tensor(0.5134),0.1018575740522718
Exponential Decay with Sine_1_12,3*x*exp(x) + x,tensor(0.5190),0.1411825995870234
Exponential Decay with Sine_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ab040>>
Exponential Decay with Sine_1_14,x**2 - x*log(cos(x)) + x,tensor(0.5743),0.4504238461526594
Exponential Decay with Sine_1_15,asin(2*x + 2),tensor(0.),0
Exponential Decay with Sine_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c0d0>>
Exponential Decay with Sine_1_17,16*x**4,tensor(0.2594),-7.152635872209277
Exponential Decay with Sine_1_18,x**2*asin(x),tensor(0.5482),0.3206602484261356
Exponential Decay with Sine_1_19,exp(x + 4),tensor(0.0290),-1120.1726620583624
Exponential Decay with Sine_1_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ab430>>
Exponential Decay with Sine_1_21,x + 1,tensor(0.5134),0.1018575740522718
Exponential Decay with Sine_1_22,5*x + asin(x),tensor(0.5893),0.5141040396656033
Exponential Decay with Sine_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980775e0>>
Exponential Decay with Sine_1_24,tanh(x) - 1,tensor(0.5442),0.29828975723273443
Exponential Decay with Sine_1_25,2*x**3 + x,tensor(0.6843),0.7871100150548374
Exponential Decay with Sine_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc693d30>>
Exponential Decay with Sine_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6930d0>>
Exponential Decay with Sine_1_28,x*(x + 2),tensor(0.6289),0.6516632473951229
