Gaussian Function_0_0,x + tan(x),tensor(0.1150),-58.27104947249592
Gaussian Function_0_1,x**4 + 2*x,tensor(0.1289),-44.66700029386672
Gaussian Function_0_2,x*sin(1),tensor(0.1800),-19.745806820233984
Gaussian Function_0_3,x*exp(-1),tensor(0.2014),-14.729753519850773
Gaussian Function_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f695814a070>>
Gaussian Function_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1da6820>>
Gaussian Function_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1da6bb0>>
Gaussian Function_0_7,sinh(x)/3,tensor(0.2013),-14.733152341158563
Gaussian Function_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f8af70>>
Gaussian Function_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016ae80>>
Gaussian Function_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b8df0>>
Gaussian Function_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a39fa0>>
Gaussian Function_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958163340>>
Gaussian Function_0_13,tanh(x)/2,tensor(0.1994),-15.11315787798328
Gaussian Function_0_14,x + cos(x) + 1,tensor(0.1417),-35.67241522281251
Gaussian Function_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4a90>>
Gaussian Function_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f46c10>>
Gaussian Function_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc616790>>
Gaussian Function_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc616130>>
Gaussian Function_0_19,3*x*(x + 2),tensor(0.0526),-322.7994149794311
Gaussian Function_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300b6fd0>>
Gaussian Function_0_21,x/3 + sin(x),tensor(0.1594),-26.79564043251627
Gaussian Function_0_22,x**2 + x + 10,tensor(0.0206),-2253.518125971611
Gaussian Function_0_23,x + sinh(x),tensor(0.1214),-51.41150262375586
Gaussian Function_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2250>>
Gaussian Function_0_25,3*x + log(x**2),tensor(0.0494),-369.413497220458
Gaussian Function_0_26,x**2*exp(5),tensor(0.0030),-109448.48061257967
Gaussian Function_0_27,3*sin(x),tensor(0.1023),-76.06248813895958
Gaussian Function_0_28,atan(x),tensor(0.1793),-19.964099495301255
Gaussian Function_0_29,3*x**4 + x,tensor(0.1510),-30.610847155852774
Gaussian Function_0_30,x*(x + 2),tensor(0.1321),-42.19386907851834
Gaussian Function_0_31,atanh(x),tensor(0.1453),-33.58565104207839
Gaussian Function_0_32,sinh(x) + acosh(x),tensor(0.),0
Gaussian Function_0_33,sin(x)/x**2,tensor(0.0077),-16737.11919773881
Gaussian Function_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2555ee0>>
Gaussian Function_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c7a60>>
Gaussian Function_0_36,x**2 - sin(x),tensor(0.1956),-15.902981905452123
Gaussian Function_0_37,x*exp(x) + x,tensor(0.1187),-54.119998225627434
Gaussian Function_0_38,x*(x + exp(x)),tensor(0.1522),-30.038890100428123
Gaussian Function_0_39,x - tanh(x),tensor(0.2067),-13.732326132971332
