Hyperbolic Tangent_0_0,x + tan(x),tensor(0.5243),0.17702288269975808
Hyperbolic Tangent_0_1,x**4 + 2*x,tensor(0.5606),0.3856090370703231
Hyperbolic Tangent_0_2,5*x*(x + 1),tensor(0.1896),-17.25751586959609
Hyperbolic Tangent_0_3,x*(x + 1),tensor(0.5948),0.5359980563177376
Hyperbolic Tangent_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f562b0>>
Hyperbolic Tangent_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc54d8e0>>
Hyperbolic Tangent_0_6,sin(x) + cos(x),tensor(0.4515),-0.47531644082087965
Hyperbolic Tangent_0_7,x**6/6,tensor(0.4989),-0.009116686047445643
Hyperbolic Tangent_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44c910>>
Hyperbolic Tangent_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6640>>
Hyperbolic Tangent_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6670>>
Hyperbolic Tangent_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f67c0>>
Hyperbolic Tangent_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6be0>>
Hyperbolic Tangent_0_13,2*tan(x),tensor(0.4624),-0.3514956592230416
Hyperbolic Tangent_0_14,x + cos(x) + 1,tensor(0.2808),-5.557582351465657
Hyperbolic Tangent_0_15,x**2 + sin(x) + cos(x),tensor(0.3736),-1.8119484653294333
Hyperbolic Tangent_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005d370>>
Hyperbolic Tangent_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc74a9a0>>
Hyperbolic Tangent_0_18,sin(x) + cos(x),tensor(0.4515),-0.47531644082087965
Hyperbolic Tangent_0_19,sin(x) + cos(x),tensor(0.4515),-0.47531644082087965
Hyperbolic Tangent_0_20,-x**2 + exp(x),tensor(0.4552),-0.4328613458274897
Hyperbolic Tangent_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f465e0>>
Hyperbolic Tangent_0_22,x + cos(x) + 10,tensor(0.0626),-223.10045421781246
Hyperbolic Tangent_0_23,tan(x) + tanh(x),tensor(0.5644),0.4042230081745086
Hyperbolic Tangent_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810efd0>>
Hyperbolic Tangent_0_25,3*x + log(3),tensor(0.3268),-3.2436749192887833
Hyperbolic Tangent_0_26,x**2*exp(5),tensor(0.0106),-8662.392356745066
Hyperbolic Tangent_0_27,3*sin(x),tensor(0.4537),-0.4492865868893259
Hyperbolic Tangent_0_28,x**3 + cos(x),tensor(0.4274),-0.7953276768533251
Hyperbolic Tangent_0_29,x + cosh(x),tensor(0.3749),-1.78022100263797
Hyperbolic Tangent_0_30,x*(x + 2),tensor(0.5308),0.21844993020065817
Hyperbolic Tangent_0_31,x + cos(x),tensor(0.4540),-0.44639606832038137
Hyperbolic Tangent_0_32,sinh(x) + acosh(x),tensor(0.),0
Hyperbolic Tangent_0_33,sin(x)/x**2,tensor(0.0270),-1302.4558778666444
Hyperbolic Tangent_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4580>>
Hyperbolic Tangent_0_35,sin(x) + cos(x),tensor(0.4515),-0.47531644082087965
Hyperbolic Tangent_0_36,x**2 - sin(x),tensor(0.3494),-2.4661715723641517
Hyperbolic Tangent_0_37,x*exp(x) + x,tensor(0.4669),-0.30410435088647025
Hyperbolic Tangent_0_38,2*x**3 + x,tensor(0.5031),0.024218273245117383
Hyperbolic Tangent_0_39,x - tanh(x),tensor(0.5301),0.21435744052277428
Hyperbolic Tangent_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f46310>>
Hyperbolic Tangent_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29bed60>>
Hyperbolic Tangent_0_42,atan(6*x),tensor(0.6151),0.6085818684068454
Hyperbolic Tangent_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6c10>>
Hyperbolic Tangent_0_44,2*x*(x + 1) + x,tensor(0.3485),-2.493626642027416
Hyperbolic Tangent_0_45,exp(x) + 1/6,tensor(0.3463),-2.563276983526286
Hyperbolic Tangent_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6970>>
Hyperbolic Tangent_0_47,x + tanh(x)**2,tensor(0.6673),0.7513187653302413
Hyperbolic Tangent_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80551c0>>
Hyperbolic Tangent_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cb75e0>>
Hyperbolic Tangent_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980777f0>>
Hyperbolic Tangent_0_51,x**2/2,tensor(0.4851),-0.12623282432854133
Hyperbolic Tangent_0_52,x**2 + exp(x),tensor(0.3118),-3.8735590968308244
Hyperbolic Tangent_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8180a30>>
Hyperbolic Tangent_0_54,tan(x + 2),tensor(0.0088),-12574.044610494082
Hyperbolic Tangent_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f8aa00>>
Hyperbolic Tangent_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f8a100>>
Hyperbolic Tangent_0_57,x - cos(x),tensor(0.4554),-0.42984129999448206
Hyperbolic Tangent_0_58,tan(x) + asinh(x),tensor(0.5435),0.29430167295147247
Hyperbolic Tangent_0_59,x + sin(x) + cos(x),tensor(0.4369),-0.6607863063094843
Hyperbolic Tangent_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5e4ca0>>
Hyperbolic Tangent_0_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cdb820>>
Hyperbolic Tangent_0_62,x**4 - x,tensor(0.3477),-2.5198454786949323
Hyperbolic Tangent_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc14b580>>
Hyperbolic Tangent_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b283b880>>
Hyperbolic Tangent_0_65,x + cos(x) + 1,tensor(0.2808),-5.557582351465657
Hyperbolic Tangent_0_66,x**2 + exp(x),tensor(0.3118),-3.8735590968308244
Hyperbolic Tangent_0_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8158eb0>>
Hyperbolic Tangent_0_68,sin(x) + cos(x),tensor(0.4515),-0.47531644082087965
Hyperbolic Tangent_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f8a340>>
Hyperbolic Tangent_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2ca99a0>>
