Sine Function Composition_0_0,x + tan(x),tensor(0.3634),-2.069872636138304
Sine Function Composition_0_1,x**4 + 2*x,tensor(0.3955),-1.3371118606621777
Sine Function Composition_0_2,5*x*cos(x),tensor(0.2306),-10.138248676477723
Sine Function Composition_0_3,x*exp(2*x),tensor(0.2187),-11.762358051360126
Sine Function Composition_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc025f10>>
Sine Function Composition_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4760>>
Sine Function Composition_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1da68b0>>
Sine Function Composition_0_7,x**6/6,tensor(0.4979),-0.016581740238066578
Sine Function Composition_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300b61c0>>
Sine Function Composition_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43cd0>>
Sine Function Composition_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990193850>>
Sine Function Composition_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990193b80>>
Sine Function Composition_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1da6e80>>
Sine Function Composition_0_13,(x + 1)/(2*x),tensor(0.0360),-717.2242004570978
Sine Function Composition_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29beb20>>
Sine Function Composition_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2823d60>>
Sine Function Composition_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66c760>>
Sine Function Composition_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66ca00>>
Sine Function Composition_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171400>>
Sine Function Composition_0_19,6*x**(3/2),tensor(0.),0
Sine Function Composition_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc616c70>>
Sine Function Composition_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2555070>>
Sine Function Composition_0_22,x**2 + x + 10,tensor(0.0451),-446.98402008025425
Sine Function Composition_0_23,2*x + 2,tensor(0.1894),-17.31608618240115
Sine Function Composition_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d4880>>
Sine Function Composition_0_25,3*x + log(x),tensor(0.),0
Sine Function Composition_0_26,x**2*exp(5),tensor(0.0072),-19027.403418079255
Sine Function Composition_0_27,3*cosh(x),tensor(0.1189),-53.945751782274826
Sine Function Composition_0_28,x**3 + sin(x),tensor(0.5351),0.2453056967875934
Sine Function Composition_0_29,5*x**4 + x,tensor(0.2258),-10.755479357429124
Sine Function Composition_0_30,x*(x + 2),tensor(0.3788),-1.6903387038253217
Sine Function Composition_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b8bb0>>
Sine Function Composition_0_32,cos(x) + acosh(x),tensor(0.),0
Sine Function Composition_0_33,log(x)**2/x**2,tensor(0.),0
Sine Function Composition_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b253c580>>
Sine Function Composition_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80f2880>>
Sine Function Composition_0_36,x**2 - sin(x),tensor(0.3015),-4.368823269044328
Sine Function Composition_0_37,x*exp(x) + x,tensor(0.3299),-3.127573048550442
Sine Function Composition_0_38,2*x**3 + x,tensor(0.3601),-2.1585112351524995
Sine Function Composition_0_39,x - tanh(x),tensor(0.5488),0.3242243769241081
Sine Function Composition_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc18b2e0>>
Sine Function Composition_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc489820>>
Sine Function Composition_0_42,atan(6*x),tensor(0.4130),-1.019452000813259
Sine Function Composition_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901748b0>>
Sine Function Composition_0_44,4*x**3 + x,tensor(0.2303),-10.176170132854585
Sine Function Composition_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8106490>>
Sine Function Composition_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc44cf40>>
Sine Function Composition_0_47,x + tanh(x)**2,tensor(0.6050),0.573562861823739
Sine Function Composition_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012f5e0>>
Sine Function Composition_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699012fd30>>
Sine Function Composition_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc11c190>>
Sine Function Composition_0_51,x**2/2,tensor(0.4713),-0.25879038619247297
Sine Function Composition_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558cd0>>
Sine Function Composition_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63af70>>
Sine Function Composition_0_54,tan(x + 2),tensor(0.0060),-27622.18999742453
Sine Function Composition_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8055b50>>
Sine Function Composition_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc54da30>>
Sine Function Composition_0_57,x - cos(x),tensor(0.3628),-2.0844033402383597
Sine Function Composition_0_58,4*x + 1,tensor(0.1907),-17.00299350644568
Sine Function Composition_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280bfe20>>
Sine Function Composition_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aa8e0>>
Sine Function Composition_0_61,-2*cosh(x),tensor(0.1684),-23.37966997783679
Sine Function Composition_0_62,x**2 + 2*x,tensor(0.3788),-1.6903387038253217
Sine Function Composition_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928138970>>
Sine Function Composition_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983719a0>>
Sine Function Composition_0_65,x**2 + x + 8,tensor(0.0553),-290.5598705996487
Sine Function Composition_0_66,x**2 + exp(x),tensor(0.2350),-9.600531069741528
Sine Function Composition_0_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25a9c10>>
Sine Function Composition_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980afc10>>
Sine Function Composition_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c8f160>>
Sine Function Composition_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c8fe80>>
Sine Function Composition_0_71,x + atan(x),tensor(0.4503),-0.4898406839871077
Sine Function Composition_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129c10>>
Sine Function Composition_0_73,sin(2*x + 9),tensor(0.2856),-5.254014703553361
Sine Function Composition_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b4430>>
Sine Function Composition_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a04b20>>
Sine Function Composition_0_76,x - 6,tensor(0.0753),-149.97687784417826
Sine Function Composition_0_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171730>>
Sine Function Composition_0_78,exp(x + 1),tensor(0.1246),-48.31601452064584
Sine Function Composition_0_79,4*x + cos(x),tensor(0.1952),-15.989088277476043
Sine Function Composition_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a6c0a0>>
Sine Function Composition_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981e40d0>>
Sine Function Composition_0_82,x + atanh(x),tensor(0.3294),-3.1431044088665017
Sine Function Composition_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81c7250>>
Sine Function Composition_0_84,x + 5,tensor(0.0891),-103.59847240308343
Sine Function Composition_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693009d130>>
Sine Function Composition_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc616190>>
Sine Function Composition_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6161c0>>
Sine Function Composition_0_88,x**3/16,tensor(0.5109),0.08374852152221168
Sine Function Composition_0_89,2*x*(x + sin(x)),tensor(0.2133),-12.606327562494322
Sine Function Composition_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280bf670>>
Sine Function Composition_0_91,x**2*cos(1),tensor(0.4674),-0.2983608722891109
Sine Function Composition_0_92,sin(x),tensor(0.9207),0.9925736855978591
Sine Function Composition_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b85b0>>
Sine Function Composition_0_94,log(x + 3),tensor(0.3025),-4.314814652005084
Sine Function Composition_0_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25a9370>>
Sine Function Composition_0_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281bd7f0>>
Sine Function Composition_0_97,sin(x) + cos(x),tensor(0.3653),-2.019108764284624
Sine Function Composition_0_98,exp(x/8),tensor(0.3080),-4.049957468513374
Sine Function Composition_0_99,x + exp(2*x),tensor(0.1558),-28.374987993043042
Sine Function Composition_0_100,x**2 + x,tensor(0.5146),0.1105516027986535
Sine Function Composition_0_101,x*(x + tanh(x)),tensor(0.3330),-3.0102716604900728
Sine Function Composition_0_102,-5*x + exp(x),tensor(0.1381),-37.9655792507439
Sine Function Composition_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66ce80>>
Sine Function Composition_0_104,2*x**3/3 + sinh(x),tensor(0.5351),0.24497217258808535
Sine Function Composition_0_105,tan(2*x),tensor(0.0016),-381425.47727181047
Sine Function Composition_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280bf880>>
Sine Function Composition_0_107,2 - 2*x,tensor(0.1562),-28.16630441835046
Sine Function Composition_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b28236a0>>
Sine Function Composition_0_109,2*x**2 - cos(x),tensor(0.3498),-2.45439387622412
Sine Function Composition_0_110,x + sin(2),tensor(0.3489),-2.4815204551196546
Sine Function Composition_0_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5e880>>
Sine Function Composition_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4f6b80>>
Sine Function Composition_0_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c4d6d0>>
Sine Function Composition_0_114,atan(4*x),tensor(0.4645),-0.3287607718748704
Sine Function Composition_0_115,x + cos(2*x),tensor(0.4335),-0.7076978424681857
Sine Function Composition_0_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b66a0>>
Sine Function Composition_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d82b80>>
Sine Function Composition_0_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2065040>>
Sine Function Composition_0_119,x*exp(2*x),tensor(0.2187),-11.762358051360126
Sine Function Composition_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0124b80>>
Sine Function Composition_0_121,exp(4*x)/4,tensor(0.1371),-38.62068100823958
Sine Function Composition_0_122,x + exp(x + 3),tensor(0.0179),-3010.1504843969196
Sine Function Composition_0_123,x,tensor(0.8254),0.9552501095911962
Sine Function Composition_0_124,(x + 1)*sin(x),tensor(0.5482),0.32056868065331123
Sine Function Composition_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18e99d0>>
Sine Function Composition_0_126,(x + 2)**4,tensor(0.0149),-4395.964387898992
Sine Function Composition_0_127,sqrt(x) + x,tensor(0.),0
Sine Function Composition_1_0,x*tan(x),tensor(0.3789),-1.687989312948182
Sine Function Composition_1_1,x/2,tensor(0.7108),0.834529570298868
Sine Function Composition_1_2,x*atan(3),tensor(0.6661),0.7486577170452515
Sine Function Composition_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981688b0>>
