Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0754),-149.42550353068413
Square Root with Quadratic Term_0_1,x**4 + 3*x,tensor(0.0739),-156.17451552574488
Square Root with Quadratic Term_0_2,5*x*cos(x),tensor(0.0668),-194.26636514629024
Square Root with Quadratic Term_0_3,x*(3*x + 7),tensor(0.0518),-334.6431853894057
Square Root with Quadratic Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b29bec70>>
Square Root with Quadratic Term_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc54dbe0>>
Square Root with Quadratic Term_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2a394c0>>
Square Root with Quadratic Term_0_7,x**6/6,tensor(0.0848),-115.60100134098866
Square Root with Quadratic Term_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2558370>>
Square Root with Quadratic Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81a9bb0>>
Square Root with Quadratic Term_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930091340>>
Square Root with Quadratic Term_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930088640>>
Square Root with Quadratic Term_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc160070>>
Square Root with Quadratic Term_0_13,cosh(x)/2,tensor(0.1043),-72.67299548741414
Square Root with Quadratic Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998138910>>
Square Root with Quadratic Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc66cdc0>>
Square Root with Quadratic Term_0_16,x**3 + 2*x,tensor(0.0733),-158.65032727377837
Square Root with Quadratic Term_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2c85f70>>
Square Root with Quadratic Term_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aa730>>
Square Root with Quadratic Term_0_19,6*x**2,tensor(0.1043),-72.77911240297797
Square Root with Quadratic Term_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0013e50>>
Square Root with Quadratic Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581abb50>>
Square Root with Quadratic Term_0_22,x + 10,tensor(0.0332),-846.3868801207942
Square Root with Quadratic Term_0_23,-x - 2,tensor(0.0502),-356.77873349839984
Square Root with Quadratic Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b8400>>
Square Root with Quadratic Term_0_25,3*x + log(x),tensor(0.),0
Square Root with Quadratic Term_0_26,x**2*exp(5),tensor(0.0038),-68428.0153814812
Square Root with Quadratic Term_0_27,3*cosh(x),tensor(0.1852),-18.356186095194534
Square Root with Quadratic Term_0_28,x**3 + sin(x),tensor(0.0797),-132.32882725554356
Square Root with Quadratic Term_0_29,5*x**4 + x,tensor(0.0954),-88.87353358135715
Square Root with Quadratic Term_0_30,x*(x + 2),tensor(0.0841),-117.59479819082334
Square Root with Quadratic Term_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25483d0>>
Square Root with Quadratic Term_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990134910>>
Square Root with Quadratic Term_0_33,sin(x)/x**2,tensor(0.0094),-10998.519903273474
Square Root with Quadratic Term_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d82490>>
Square Root with Quadratic Term_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d82580>>
Square Root with Quadratic Term_0_36,x**2 - sin(x),tensor(0.0918),-96.94847145500007
Square Root with Quadratic Term_0_37,x*exp(x) + x,tensor(0.0822),-123.6142066637786
Square Root with Quadratic Term_0_38,2*x**3 + x,tensor(0.0755),-148.7415708541102
Square Root with Quadratic Term_0_39,x - tanh(x),tensor(0.0840),-117.80559120779118
Square Root with Quadratic Term_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5ef10>>
Square Root with Quadratic Term_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d5e160>>
Square Root with Quadratic Term_0_42,atan(6*x),tensor(0.0774),-141.19852773955253
Square Root with Quadratic Term_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281ccd90>>
Square Root with Quadratic Term_0_44,x - tan(x),tensor(0.0841),-117.52094888388844
Square Root with Quadratic Term_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc0a2040>>
Square Root with Quadratic Term_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990134370>>
Square Root with Quadratic Term_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990134580>>
Square Root with Quadratic Term_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980afbe0>>
Square Root with Quadratic Term_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b280f280>>
Square Root with Quadratic Term_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b280f880>>
Square Root with Quadratic Term_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b280fa30>>
Square Root with Quadratic Term_0_52,x**2*exp(2*x),tensor(0.0895),-102.48114853581961
Square Root with Quadratic Term_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b280f220>>
Square Root with Quadratic Term_0_54,tan(x + 2),tensor(0.0031),-105087.60198515313
Square Root with Quadratic Term_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005d700>>
Square Root with Quadratic Term_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2548730>>
Square Root with Quadratic Term_0_57,x - cos(x),tensor(0.0644),-209.87011938301868
Square Root with Quadratic Term_0_58,4*x + 1,tensor(0.0783),-137.52993386066962
Square Root with Quadratic Term_0_59,x**2 + x + exp(x),tensor(0.1183),-54.50453813137323
Square Root with Quadratic Term_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63af70>>
Square Root with Quadratic Term_0_61,-2*cosh(x),tensor(0.0471),-409.18246978855433
Square Root with Quadratic Term_0_62,x**2 + 2*x,tensor(0.0841),-117.59479819082334
Square Root with Quadratic Term_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171790>>
Square Root with Quadratic Term_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281bd100>>
Square Root with Quadratic Term_0_65,5*x + 8,tensor(0.0404),-563.899658323778
Square Root with Quadratic Term_0_66,x**2 + exp(x),tensor(0.1400),-36.73112676317914
Square Root with Quadratic Term_0_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981fb790>>
Square Root with Quadratic Term_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b8550>>
Square Root with Quadratic Term_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1b8bb0>>
Square Root with Quadratic Term_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580aa760>>
Square Root with Quadratic Term_0_71,x + atan(x),tensor(0.0779),-138.97421030351524
Square Root with Quadratic Term_0_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ae3d0>>
Square Root with Quadratic Term_0_73,-sin(x - 9),tensor(0.0931),-93.83311194602146
Square Root with Quadratic Term_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958068520>>
Square Root with Quadratic Term_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581d1610>>
Square Root with Quadratic Term_0_76,-log(cos(x)),tensor(0.0892),-103.28035063869058
Square Root with Quadratic Term_0_77,10*x**3,tensor(0.0500),-360.1033760961839
Square Root with Quadratic Term_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2823160>>
