 Nguyen-5_0_0,-x**4/4 + x**3/3 + x,tensor(0.2886),-5.078448609823766
 Nguyen-5_0_1,3*E*x,tensor(0.0811),-127.23780486143804
 Nguyen-5_0_2,x*cosh(x) - x,tensor(0.2697),-6.32929477719616
 Nguyen-5_0_3,sin(4*x**2)/8,tensor(0.2502),-7.979139399449583
 Nguyen-5_0_4,8*x**2,tensor(0.0790),-134.94540842426
 Nguyen-5_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bb2450>>
 Nguyen-5_0_6,exp(2*x + 4),tensor(0.0028),-124290.87388679913
 Nguyen-5_0_7,4*log(x),tensor(0.),0
 Nguyen-5_0_8,x**3*sin(x),tensor(0.2296),-10.258825430362162
 Nguyen-5_0_9,x - sin(x + 4),tensor(0.1940),-16.25426749309246
 Nguyen-5_0_10,2*x**(3/2)/3,tensor(0.),0
 Nguyen-5_0_11,4*x + 4*log(x),tensor(0.),0
 Nguyen-5_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bb9a90>>
 Nguyen-5_0_13,x*exp(5*x),tensor(0.0128),-5906.99509975475
 Nguyen-5_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bb8a50>>
 Nguyen-5_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bc8810>>
 Nguyen-5_0_16,x*(x**4 + x)**3,tensor(0.1734),-21.74008960551654
 Nguyen-5_0_17,x,tensor(0.2840),-5.357102660773727
 Nguyen-5_0_18,4*x - 3,tensor(0.1162),-56.88694078078062
 Nguyen-5_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bcb490>>
 Nguyen-5_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bcb510>>
 Nguyen-5_0_21,2*x + exp(2*x),tensor(0.0965),-86.72232401041106
 Nguyen-5_0_22,x*(x + sin(x) + 2),tensor(0.1759),-20.93733071943999
 Nguyen-5_0_23,-2*x*cos(x),tensor(0.1858),-18.209074314715178
 Nguyen-5_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bbb150>>
 Nguyen-5_0_25,(x + asin(x))**4,tensor(0.0385),-621.6520892268207
 Nguyen-5_0_26,(2 - 2*x)*exp(x),tensor(0.1261),-47.04652305564094
 Nguyen-5_0_27,pi/(8*x),tensor(0.1440),-34.31028465551592
 Nguyen-5_0_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89bc8590>>
 Nguyen-5_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89be0210>>
 Nguyen-5_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89be0810>>
 Nguyen-5_0_31,2*x*(x + 1),tensor(0.1727),-21.96014334359128
 Nguyen-5_1_0,x + exp(x),tensor(0.1497),-31.27330176361297
 Nguyen-5_1_1,x**2/2 - exp(4*x)/4,tensor(0.1082),-66.99507339595004
 Nguyen-5_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89c65810>>
 Nguyen-5_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89c7f410>>
 Nguyen-5_1_4,x**3/3 + sin(x),tensor(0.2815),-5.512127275523368
 Nguyen-5_1_5,2 - 6*x,tensor(0.0693),-179.25694664525014
 Nguyen-5_1_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a93750>>
 Nguyen-5_1_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a93b10>>
 Nguyen-5_1_8,x*(-2*x + sinh(x)),tensor(0.3141),-3.769522102354089
 Nguyen-5_1_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a9c290>>
 Nguyen-5_1_10,x*(x + sin(x)),tensor(0.1744),-21.42012271317284
 Nguyen-5_1_11,x/2 + x*log(2),tensor(0.2810),-5.546751730090277
 Nguyen-5_1_12,x**2*(x*cos(x) + x),tensor(0.2706),-6.266908154463483
 Nguyen-5_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a90f90>>
 Nguyen-5_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a9f090>>
 Nguyen-5_1_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a9fad0>>
 Nguyen-5_1_16,-x**3/3,tensor(0.2509),-7.917316913334682
 Nguyen-5_1_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89aa4950>>
 Nguyen-5_1_18,2*x + 3*log(x),tensor(0.),0
 Nguyen-5_1_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a9f810>>
 Nguyen-5_1_20,tan(1)/x,tensor(0.0454),-440.7738051971738
 Nguyen-5_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a9ea10>>
 Nguyen-5_1_22,x*sin(x) + 2*x + cos(x),tensor(0.1529),-29.70427208402623
 Nguyen-5_1_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a92990>>
 Nguyen-5_1_24,-x**3/3 - 16*x**2,tensor(0.0561),-282.26215306072027
 Nguyen-5_1_25,x*(5 - x**2),tensor(0.1453),-33.60097141704001
 Nguyen-5_1_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89a9cc90>>
 Nguyen-5_1_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89c3f950>>
 Nguyen-5_1_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6f89c3f3d0>>
 Nguyen-5_1_29,x**2 - 2*x,tensor(0.1490),-31.604767244894155
