 Nguyen-2_0_0,x + tan(x),tensor(0.5285),0.20432797862569518
 Nguyen-2_0_1,x**4 + 2*x,tensor(0.6525),0.7163485103079421
 Nguyen-2_0_2,x/14,tensor(0.4842),-0.13437612681055655
 Nguyen-2_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1360a0>>
 Nguyen-2_0_4,x + sin(x),tensor(0.5548),0.3558852652887552
 Nguyen-2_0_5,3*atanh(x),tensor(0.3435),-2.6519100615402644
 Nguyen-2_0_6,log(16*x**4),tensor(0.2135),-12.564657662303208
 Nguyen-2_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641c21c0>>
 Nguyen-2_0_8,x + sin(x + 3),tensor(0.4963),-0.029765696448795564
 Nguyen-2_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05da5970>>
 Nguyen-2_0_10,sin(x)*cos(x),tensor(0.5332),0.233506742871753
 Nguyen-2_0_11,x*(x + cos(x)),tensor(0.6306),0.6568649591084639
 Nguyen-2_0_12,x*(x + 1),tensor(0.6893),0.7968951004308761
 Nguyen-2_0_13,x + 2,tensor(0.3966),-1.3155341013344324
 Nguyen-2_0_14,3*x + cos(x),tensor(0.4779),-0.19336242194078945
 Nguyen-2_0_15,x**3*cos(2),tensor(0.4531),-0.45705675504587084
 Nguyen-2_0_16,x + tanh(x),tensor(0.5578),0.37132148394976083
 Nguyen-2_0_17,6*x**5,tensor(0.4333),-0.7111515011612062
 Nguyen-2_0_18,x - sin(x),tensor(0.4871),-0.10908935791053387
 Nguyen-2_0_19,2*x + cos(x),tensor(0.5689),0.42599034347438935
 Nguyen-2_0_20,x*(x + sin(x)),tensor(0.5166),0.12469339712868388
 Nguyen-2_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580de040>>
 Nguyen-2_0_22,x + 2,tensor(0.3966),-1.3155341013344324
 Nguyen-2_0_23,2*x + atan(x),tensor(0.4739),-0.2320198524697985
 Nguyen-2_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40849a0>>
 Nguyen-2_0_25,3*x,tensor(0.4611),-0.3656340629300232
 Nguyen-2_0_26,x**2*exp(5),tensor(0.0153),-4147.091476274436
 Nguyen-2_0_27,4*x**4,tensor(0.4682),-0.2900495321945926
 Nguyen-2_0_28,x*(sin(x) + 1),tensor(0.6744),0.7668125680614895
 Nguyen-2_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583fd7c0>>
 Nguyen-2_0_30,x*(x + cosh(x)),tensor(0.7455),0.8834909564103411
 Nguyen-2_0_31,asinh(x - 1),tensor(0.4119),-1.0384446207208744
 Nguyen-2_0_32,x**2 + sinh(x)*acosh(x),tensor(0.),0
 Nguyen-2_0_33,8*x**3,tensor(0.3020),-4.342204731270892
 Nguyen-2_0_34,x/(x + 2),tensor(0.5041),0.03234193925997142
 Nguyen-2_0_35,x**2 + x,tensor(0.6893),0.7968951004308761
 Nguyen-2_0_36,x*(x + 4),tensor(0.4102),-1.0673852350243176
 Nguyen-2_0_37,x*(x + 2),tensor(0.6976),0.8121484933730978
 Nguyen-2_0_38,x - tanh(x),tensor(0.4929),-0.05850976884438963
 Nguyen-2_0_39,sin(3*x)/3,tensor(0.5042),0.03327269861596527
 Nguyen-2_0_40,x**3 + sin(x),tensor(0.5726),0.4429001094746726
 Nguyen-2_0_41,x + sin(x),tensor(0.5548),0.3558852652887552
 Nguyen-2_0_42,2*x*(x + 1),tensor(0.7725),0.9132927518644719
 Nguyen-2_0_43,x**(1/6) + exp(x),tensor(0.),0
 Nguyen-2_0_44,x*(x + cos(4)),tensor(0.4396),-0.6252624420473718
 Nguyen-2_0_45,x + x*tan(1),tensor(0.5025),0.019577425690669115
 Nguyen-2_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064f8100>>
 Nguyen-2_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab610>>
 Nguyen-2_0_48,atan(x) + 1,tensor(0.5566),0.36542661703290225
 Nguyen-2_0_49,x/2 + tan(x),tensor(0.5640),0.402465218898035
 Nguyen-2_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc419b7c0>>
 Nguyen-2_0_51,x**2*exp(x) + x,tensor(0.8581),0.9726553507225733
 Nguyen-2_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5808c280>>
 Nguyen-2_0_53,x**3 + 5,tensor(0.1879),-17.679101299134626
 Nguyen-2_0_54,x + atanh(x),tensor(0.5097),0.07432283605088719
 Nguyen-2_0_55,cos(x)**5,tensor(0.4644),-0.3301372104127418
 Nguyen-2_0_56,-x + sinh(x),tensor(0.4878),-0.10275155893602639
 Nguyen-2_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e047d00>>
 Nguyen-2_0_58,x + asinh(x),tensor(0.5539),0.3513393414447529
 Nguyen-2_0_59,x**2*(x + 3),tensor(0.5377),0.2606803341423112
 Nguyen-2_0_60,x**2*cosh(x),tensor(0.5248),0.18021004020514098
 Nguyen-2_0_61,x**3 + sin(x),tensor(0.5726),0.4429001094746726
 Nguyen-2_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc416f8e0>>
 Nguyen-2_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580b9cd0>>
 Nguyen-2_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265d39d0>>
 Nguyen-2_0_65,x**2 + exp(x),tensor(0.4991),-0.007104185755745895
 Nguyen-2_0_66,x*sin(4),tensor(0.4107),-1.0594892772871245
 Nguyen-2_0_67,x**2 + x + 3,tensor(0.2693),-6.359369563743021
 Nguyen-2_0_68,5*x**4,tensor(0.4248),-0.8334493612114049
 Nguyen-2_0_69,cos(x)**2,tensor(0.4702),-0.2695292144916861
 Nguyen-2_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc419bbb0>>
 Nguyen-2_0_71,-5*tan(x),tensor(0.1815),-19.333761714987904
 Nguyen-2_0_72,x + cos(x)**2,tensor(0.5559),0.3618641434331412
 Nguyen-2_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f049ab400>>
 Nguyen-2_0_74,x*cos(x + 1),tensor(0.4557),-0.4271401136928643
 Nguyen-2_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40b12e0>>
 Nguyen-2_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581c11c0>>
 Nguyen-2_0_77,4*sin(x)*cos(x),tensor(0.4811),-0.1636321173107378
 Nguyen-2_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05613d30>>
 Nguyen-2_0_79,x + atanh(x),tensor(0.5097),0.07432283605088719
 Nguyen-2_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05b5bf70>>
 Nguyen-2_0_81,sin(x)/4,tensor(0.4986),-0.01134901405098887
 Nguyen-2_0_82,x*(3*x + 1),tensor(0.5793),0.4724911581670963
 Nguyen-2_0_83,x - cosh(x),tensor(0.3595),-2.174902021522129
 Nguyen-2_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40a70a0>>
 Nguyen-2_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05181d60>>
 Nguyen-2_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05181160>>
 Nguyen-2_0_87,cos(4*x),tensor(0.3946),-1.3529017896907405
 Nguyen-2_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41c99d0>>
 Nguyen-2_0_89,x*sin(1),tensor(0.5506),0.3339484122973626
 Nguyen-2_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05647be0>>
 Nguyen-2_0_91,sqrt(x) + 4,tensor(0.),0
 Nguyen-2_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26740280>>
