Exponential Decay with Sine_0_0,x + tan(x),tensor(0.7014),0.8187666378730067
Exponential Decay with Sine_0_1,x**4 + 2*x,tensor(0.6351),0.6698968431021068
Exponential Decay with Sine_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05af6dc0>>
Exponential Decay with Sine_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581c1b20>>
Exponential Decay with Sine_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05181bb0>>
Exponential Decay with Sine_0_5,3*atanh(x),tensor(0.7198),0.8485152369183948
Exponential Decay with Sine_0_6,log(16*x**4),tensor(0.3194),-3.5402589458129787
Exponential Decay with Sine_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e15f700>>
Exponential Decay with Sine_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1368e0>>
Exponential Decay with Sine_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8417bee0>>
Exponential Decay with Sine_0_10,(x + 1)*cos(x),tensor(0.5045),0.03566331515798371
Exponential Decay with Sine_0_11,x*(x + tan(6)),tensor(0.4595),-0.3832552234981257
Exponential Decay with Sine_0_12,x**2/8,tensor(0.4925),-0.06225204305091658
Exponential Decay with Sine_0_13,-x + 2*exp(x),tensor(0.4072),-1.119258484702848
Exponential Decay with Sine_0_14,3*x + 3,tensor(0.3978),-1.292583406390163
Exponential Decay with Sine_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4133640>>
Exponential Decay with Sine_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06223370>>
Exponential Decay with Sine_0_17,6*x**5,tensor(0.6236),0.6358110267625252
Exponential Decay with Sine_0_18,x - sinh(x),tensor(0.4877),-0.10351612894228746
Exponential Decay with Sine_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840553a0>>
Exponential Decay with Sine_0_20,x*(x + sin(x)),tensor(0.4550),-0.4344988166963111
Exponential Decay with Sine_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055e1c10>>
Exponential Decay with Sine_0_22,cos(x) + 2,tensor(0.3571),-2.241695576632843
Exponential Decay with Sine_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f049abd60>>
Exponential Decay with Sine_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265ffdf0>>
Exponential Decay with Sine_0_25,3*x + log(6*x),tensor(0.),0
Exponential Decay with Sine_0_26,x**2*exp(5),tensor(0.0308),-992.0834062616539
Exponential Decay with Sine_0_27,4*x**4,tensor(0.4290),-0.7719978796804812
Exponential Decay with Sine_0_28,x*(x**2 + sin(x)),tensor(0.5153),0.11542949704989158
Exponential Decay with Sine_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0650b550>>
Exponential Decay with Sine_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e136700>>
Exponential Decay with Sine_0_31,1/log(x),tensor(0.),0
Exponential Decay with Sine_0_32,x**2 + x/2,tensor(0.5066),0.05112594700273221
Exponential Decay with Sine_0_33,8*x**2,tensor(0.3122),-3.854281312920219
Exponential Decay with Sine_0_34,x/tan(2),tensor(0.4661),-0.3124415331456567
Exponential Decay with Sine_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e136a60>>
Exponential Decay with Sine_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580a81f0>>
Exponential Decay with Sine_0_37,x*(x + sin(x) + 2),tensor(0.5699),0.4302573072410253
Exponential Decay with Sine_0_38,x - tanh(x),tensor(0.5047),0.03696827657325841
Exponential Decay with Sine_0_39,sin(3*x)/3,tensor(0.5177),0.1319407859693258
Exponential Decay with Sine_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055e1820>>
Exponential Decay with Sine_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265ff910>>
