Polynomial with Complex Roots_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266bee20>>
Polynomial with Complex Roots_0_1,x**4 + 2*x,tensor(0.2255),-10.79414615562962
Polynomial with Complex Roots_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa412d070>>
Polynomial with Complex Roots_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e125df0>>
Polynomial with Complex Roots_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f260158b0>>
Polynomial with Complex Roots_0_5,3*x*(x + 4),tensor(0.1734),-21.721935421732613
Polynomial with Complex Roots_0_6,log(16*x**4),tensor(0.1748),-21.279054766893733
Polynomial with Complex Roots_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f585bd190>>
Polynomial with Complex Roots_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f265d3a90>>
Polynomial with Complex Roots_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0588e5b0>>
Polynomial with Complex Roots_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f060643d0>>
Polynomial with Complex Roots_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f060648e0>>
Polynomial with Complex Roots_0_12,x**8/8,tensor(0.2169),-12.037055139336731
Polynomial with Complex Roots_0_13,-x + 2*exp(x),tensor(0.3220),-3.4347258020202673
Polynomial with Complex Roots_0_14,3*x + 3,tensor(0.3621),-2.102811068701117
Polynomial with Complex Roots_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40e8280>>
Polynomial with Complex Roots_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580a8820>>
Polynomial with Complex Roots_0_17,6*x**5,tensor(0.2152),-12.300101772198376
Polynomial with Complex Roots_0_18,0,tensor(0.),0
Polynomial with Complex Roots_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581778e0>>
Polynomial with Complex Roots_0_20,x*(x*sin(1) + x),tensor(0.2370),-9.366149952281335
Polynomial with Complex Roots_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f841ded60>>
Polynomial with Complex Roots_0_22,6*x + 2,tensor(0.2632),-6.835616376240148
Polynomial with Complex Roots_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58475880>>
Polynomial with Complex Roots_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05d9f280>>
Polynomial with Complex Roots_0_25,3*x + log(x**2),tensor(0.1709),-22.540053767262215
Polynomial with Complex Roots_0_26,x**2*exp(5),tensor(0.0243),-1616.2195963155511
Polynomial with Complex Roots_0_27,4*x**4,tensor(0.2424),-8.768727424218975
Polynomial with Complex Roots_0_28,x*(x**2 + sin(x)),tensor(0.2279),-10.479603975364357
