Sigmoid Function_0_0,-x*cos(x) + sin(x),tensor(0.2196),-11.628650630808414
Sigmoid Function_0_1,x**4 + 2*x,tensor(0.1117),-62.188990534884944
Sigmoid Function_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5846f220>>
Sigmoid Function_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f053e18b0>>
Sigmoid Function_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41dda00>>
Sigmoid Function_0_5,3*atanh(x),tensor(0.0506),-350.4444266288207
Sigmoid Function_0_6,log(x**(-6)),tensor(0.0182),-2920.2423823087242
Sigmoid Function_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26399820>>
Sigmoid Function_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05181670>>
Sigmoid Function_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f051813a0>>
Sigmoid Function_0_10,0,tensor(0.),0
Sigmoid Function_0_11,x*(x + tan(6)),tensor(0.2317),-9.99965198692938
Sigmoid Function_0_12,x*(x**4 + 12),tensor(0.0189),-2691.6379593002503
Sigmoid Function_0_13,-x + 2*exp(x),tensor(0.0685),-183.8812179720388
Sigmoid Function_0_14,3*x + 3,tensor(0.0472),-407.224512137923
Sigmoid Function_0_15,x**3*cos(2),tensor(0.2028),-14.449983907644974
Sigmoid Function_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64175ca0>>
Sigmoid Function_0_17,6*x**5,tensor(0.0717),-166.6353523467411
Sigmoid Function_0_18,0,tensor(0.),0
Sigmoid Function_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f064ba280>>
Sigmoid Function_0_20,x*(x*sin(1) + x),tensor(0.1899),-17.194943121899996
Sigmoid Function_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06236850>>
Sigmoid Function_0_22,6*x + 2,tensor(0.0377),-650.6222160873157
