Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0732),-159.4547934518752
Square Root with Quadratic Term_0_1,x**4 + 2*x,tensor(0.0792),-134.32102442339124
Square Root with Quadratic Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580709d0>>
Square Root with Quadratic Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26740850>>
Square Root with Quadratic Term_0_4,x + sin(x),tensor(0.0757),-148.242991354755
Square Root with Quadratic Term_0_5,3*atanh(x),tensor(0.0587),-256.58880754150914
Square Root with Quadratic Term_0_6,log(16*x**4),tensor(0.0439),-472.21139296787806
Square Root with Quadratic Term_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84038430>>
Square Root with Quadratic Term_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055e1ee0>>
Square Root with Quadratic Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f055e1d60>>
Square Root with Quadratic Term_0_10,cos(x)*sinh(x),tensor(0.0816),-125.7152997333462
Square Root with Quadratic Term_0_11,x*(x + tan(5)),tensor(0.0759),-147.2912158304263
Square Root with Quadratic Term_0_12,x*(4*x + 4),tensor(0.0754),-149.35503487959733
Square Root with Quadratic Term_0_13,-x + 2*exp(x),tensor(0.2066),-13.755740992715006
Square Root with Quadratic Term_0_14,3*x + 3,tensor(0.1230),-49.82792344262957
Square Root with Quadratic Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f06524490>>
Square Root with Quadratic Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f267805e0>>
Square Root with Quadratic Term_0_17,6*x**5,tensor(0.0682),-185.58826929976934
Square Root with Quadratic Term_0_18,x - sinh(x),tensor(0.0840),-118.04707208988371
Square Root with Quadratic Term_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4074fa0>>
Square Root with Quadratic Term_0_20,x*(x + sin(x)),tensor(0.1022),-76.21734779748886
Square Root with Quadratic Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26622670>>
Square Root with Quadratic Term_0_22,cos(x) + 2,tensor(0.5954),0.5384005282425233
Square Root with Quadratic Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f0588ec10>>
Square Root with Quadratic Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262c12b0>>
Square Root with Quadratic Term_0_25,3*x + log(x),tensor(0.),0
Square Root with Quadratic Term_0_26,x**2*exp(5),tensor(0.0037),-72041.22433319851
Square Root with Quadratic Term_0_27,4*exp(4*x),tensor(0.0049),-40874.865660899435
Square Root with Quadratic Term_0_28,x*(x**2 + sin(x)),tensor(0.0905),-100.03002670755929
Square Root with Quadratic Term_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5848fb80>>
Square Root with Quadratic Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05da3d30>>
