Polynomial with Exponential Term_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f757804cbb0>>
Polynomial with Exponential Term_0_1,x**2 + x + atan(x),tensor(0.2174),-11.955941322067567
Polynomial with Exponential Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f753847efa0>>
Polynomial with Exponential Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538470be0>>
Polynomial with Exponential Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75980e71f0>>
Polynomial with Exponential Term_0_5,5*log(x),tensor(0.),0
Polynomial with Exponential Term_0_6,atan(x) + 5,tensor(0.3492),-2.473457450441263
Polynomial with Exponential Term_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75201b44c0>>
Polynomial with Exponential Term_0_8,8*x**3,tensor(0.2104),-13.081226676881224
Polynomial with Exponential Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f759811b070>>
Polynomial with Exponential Term_0_10,x**6/6,tensor(0.2083),-13.446614165802371
Polynomial with Exponential Term_0_11,2*x*(x + sin(x)),tensor(0.2326),-9.882368882480378
Polynomial with Exponential Term_0_12,exp(x) + sin(x),tensor(0.2344),-9.667159671163063
Polynomial with Exponential Term_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75382f37c0>>
Polynomial with Exponential Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75b80a0d60>>
Polynomial with Exponential Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75382969a0>>
Polynomial with Exponential Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75382966d0>>
Polynomial with Exponential Term_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7558110940>>
Polynomial with Exponential Term_0_18,x**3*exp(2*x),tensor(0.2231),-11.126040137987363
Polynomial with Exponential Term_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75382e4280>>
Polynomial with Exponential Term_0_20,x**3,tensor(0.2091),-13.311746665227602
Polynomial with Exponential Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7598174280>>
Polynomial with Exponential Term_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75981214f0>>
Polynomial with Exponential Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75580effa0>>
Polynomial with Exponential Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75b81d6f70>>
Polynomial with Exponential Term_0_25,x**4 + x + exp(x),tensor(0.2395),-9.080430514602654
Polynomial with Exponential Term_0_26,0,tensor(0.),0
Polynomial with Exponential Term_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75781af280>>
Polynomial with Exponential Term_0_28,2*x + 5,tensor(0.3590),-2.188994439081773
Polynomial with Exponential Term_0_29,x + tan(3),tensor(0.2073),-13.626239970893224
Polynomial with Exponential Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75781b0df0>>
Polynomial with Exponential Term_0_31,x**2 + x + sin(x),tensor(0.2175),-11.94683161681698
Polynomial with Exponential Term_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75382c8490>>
Polynomial with Exponential Term_0_33,-6*x,tensor(0.1876),-17.744225156857933
Polynomial with Exponential Term_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75381cb610>>
Polynomial with Exponential Term_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75381cb8e0>>
Polynomial with Exponential Term_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538543fd0>>
Polynomial with Exponential Term_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538543550>>
Polynomial with Exponential Term_0_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538543880>>
Polynomial with Exponential Term_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538543520>>
Polynomial with Exponential Term_0_40,x**3*(x + 4),tensor(0.2153),-12.278995943710507
Polynomial with Exponential Term_0_41,2*x + sinh(x),tensor(0.2117),-12.860007279299401
Polynomial with Exponential Term_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75781752e0>>
Polynomial with Exponential Term_0_43,x + 4*cos(x),tensor(0.2851),-5.286692093132822
Polynomial with Exponential Term_0_44,4*x**2 + x,tensor(0.2368),-9.386894388845514
Polynomial with Exponential Term_0_45,x + (x + 4)**2,tensor(0.2436),-8.643862036826118
Polynomial with Exponential Term_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538469bb0>>
Polynomial with Exponential Term_0_47,x + sin(2*x),tensor(0.2112),-12.949618215297127
Polynomial with Exponential Term_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75780c50d0>>
Polynomial with Exponential Term_0_49,1 - 2*x**2,tensor(0.2121),-12.802463293277269
Polynomial with Exponential Term_0_50,x**2/12,tensor(0.2083),-13.43802905378007
Polynomial with Exponential Term_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75781b0d90>>
Polynomial with Exponential Term_0_52,x**2 + asinh(x),tensor(0.2160),-12.17362033699472
Polynomial with Exponential Term_0_53,x*(2*x + 3),tensor(0.2253),-10.823196146546863
Polynomial with Exponential Term_0_54,sin(x) - 2,tensor(0.1798),-19.805032125914835
Polynomial with Exponential Term_0_55,x/16,tensor(0.2080),-13.504172718573944
Polynomial with Exponential Term_0_56,x**5 + 2*x,tensor(0.2114),-12.91174811683883
Polynomial with Exponential Term_0_57,x + tan(x) + 2,tensor(0.2538),-7.641951299206365
Polynomial with Exponential Term_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75382e47f0>>
Polynomial with Exponential Term_0_59,2*x*(x + 1),tensor(0.2244),-10.940547821492572
Polynomial with Exponential Term_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75581ae070>>
Polynomial with Exponential Term_0_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7538354b80>>
Polynomial with Exponential Term_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75580f4e20>>
Polynomial with Exponential Term_0_63,3*x**(4/3),tensor(0.),0
Polynomial with Exponential Term_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f75981b1610>>
