Polynomial with Complex Roots_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fe038075040>>
Polynomial with Complex Roots_0_1,2*x**3,tensor(0.2202),-11.542020341035691
Polynomial with Complex Roots_0_2,2*x**2*cos(x),tensor(0.2321),-9.952089332499128
Polynomial with Complex Roots_0_3,x*log(x)**2,tensor(0.),0
Polynomial with Complex Roots_0_4,x**2*cos(5),tensor(0.2197),-11.607421661988306
Polynomial with Complex Roots_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf90440160>>
Polynomial with Complex Roots_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdfb80b7430>>
Polynomial with Complex Roots_0_7,4*x + 5/2,tensor(0.3248),-3.322209548016623
Polynomial with Complex Roots_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf90714640>>
Polynomial with Complex Roots_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf900b6eb0>>
Polynomial with Complex Roots_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf900b6a00>>
Polynomial with Complex Roots_0_11,2*x*sin(x),tensor(0.2363),-9.44353571962218
Polynomial with Complex Roots_0_12,4*log(x),tensor(0.),0
Polynomial with Complex Roots_0_13,exp(x) + sin(x),tensor(0.2638),-6.787222263703747
Polynomial with Complex Roots_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf900b6220>>
Polynomial with Complex Roots_0_15,x + 6,tensor(0.5835),0.4905170898358653
Polynomial with Complex Roots_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf900c6400>>
Polynomial with Complex Roots_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf900c66a0>>
Polynomial with Complex Roots_0_18,-x**4 + x,tensor(0.2131),-12.635391138213986
Polynomial with Complex Roots_0_19,x**2 + x + 1/x,tensor(0.0575),-267.92146100157566
Polynomial with Complex Roots_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf9048c670>>
Polynomial with Complex Roots_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdff80bf220>>
Polynomial with Complex Roots_0_22,x*(2*x + 4),tensor(0.2415),-8.862191748548108
Polynomial with Complex Roots_0_23,sqrt(x),tensor(0.),0
Polynomial with Complex Roots_0_24,4*x + 4*log(x),tensor(0.),0
Polynomial with Complex Roots_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fdf9044f700>>
Polynomial with Complex Roots_0_26,x*(x + 5),tensor(0.2253),-10.825490666293057
