Polynomial with Complex Roots_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6278192a00>>
Polynomial with Complex Roots_0_1,x**4 + 2*x,tensor(0.2255),-10.79414615562962
Polynomial with Complex Roots_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61eb1b8190>>
Polynomial with Complex Roots_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6278097490>>
Polynomial with Complex Roots_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f0530730>>
Polynomial with Complex Roots_0_5,3*x*(x + 4),tensor(0.1734),-21.721935421732613
Polynomial with Complex Roots_0_6,log(16*x**4),tensor(0.1748),-21.279054766893733
Polynomial with Complex Roots_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f0202fa0>>
Polynomial with Complex Roots_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f03eb9d0>>
Polynomial with Complex Roots_0_9,x*cosh(x) + x,tensor(0.2180),-11.86884938679273
Polynomial with Complex Roots_0_10,0,tensor(0.),0
Polynomial with Complex Roots_0_11,x*(x + asinh(x)),tensor(0.2379),-9.258428295462464
Polynomial with Complex Roots_0_12,x*(4*x + 4),tensor(0.2625),-6.893939871205057
Polynomial with Complex Roots_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f036f9d0>>
Polynomial with Complex Roots_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6228168be0>>
Polynomial with Complex Roots_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62280d1070>>
Polynomial with Complex Roots_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f03e1df0>>
Polynomial with Complex Roots_0_17,6*x**5,tensor(0.2152),-12.300101772198376
Polynomial with Complex Roots_0_18,2*x + sin(x - 4),tensor(0.2385),-9.195410252678656
Polynomial with Complex Roots_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62781dd580>>
Polynomial with Complex Roots_0_20,x*(x + sin(x)),tensor(0.2377),-9.283263632420134
Polynomial with Complex Roots_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6270177850>>
Polynomial with Complex Roots_0_22,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f02f32e0>>
Polynomial with Complex Roots_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f62300728e0>>
Polynomial with Complex Roots_0_25,3*x + log(x),tensor(0.),0
Polynomial with Complex Roots_0_26,x**2*exp(5),tensor(0.0243),-1616.2195963155511
Polynomial with Complex Roots_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6228038c70>>
Polynomial with Complex Roots_0_28,x*(x**2 + sin(x)),tensor(0.2279),-10.479603975364357
Polynomial with Complex Roots_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61eb1845e0>>
Polynomial with Complex Roots_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61eb184880>>
Polynomial with Complex Roots_0_31,1/log(x),tensor(0.),0
Polynomial with Complex Roots_0_32,x**2 + x/2,tensor(0.2289),-10.353616275658961
Polynomial with Complex Roots_0_33,8*x**3,tensor(0.2059),-13.874873523397154
Polynomial with Complex Roots_0_34,x/(x + 2),tensor(0.2145),-12.405796416004792
Polynomial with Complex Roots_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f61f02f3250>>
Polynomial with Complex Roots_0_36,x*(x + 4),tensor(0.2244),-10.940098247866244
Polynomial with Complex Roots_0_37,x*(x + sin(x) + 2),tensor(0.2415),-8.866913366865491
Polynomial with Complex Roots_0_38,x - tanh(x),tensor(0.2168),-12.04552946729765
Polynomial with Complex Roots_0_39,sin(3*x)/3,tensor(0.2173),-11.978151965576586
