Square Root with Quadratic Term_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f837815d490>>
Square Root with Quadratic Term_0_1,2*sin(x)*cos(x),tensor(0.0806),-128.96786381901154
Square Root with Quadratic Term_0_2,2*x**2*cos(x),tensor(0.0979),-83.98159937017688
Square Root with Quadratic Term_0_3,x*log(x)**2,tensor(0.),0
Square Root with Quadratic Term_0_4,x**2*cos(5),tensor(0.0867),-109.96463645720998
Square Root with Quadratic Term_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ec314af0>>
Square Root with Quadratic Term_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ec28b430>>
Square Root with Quadratic Term_0_7,4*x + sin(x),tensor(0.0587),-255.6928594239576
Square Root with Quadratic Term_0_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ac1f57c0>>
Square Root with Quadratic Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f834c0cf220>>
Square Root with Quadratic Term_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f834c0cf0a0>>
Square Root with Quadratic Term_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f834c0cf3a0>>
Square Root with Quadratic Term_0_12,4*log(x),tensor(0.),0
Square Root with Quadratic Term_0_13,exp(x) + sin(x),tensor(0.1114),-62.57259002843639
Square Root with Quadratic Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ec0ab520>>
Square Root with Quadratic Term_0_15,x + 10,tensor(0.0332),-846.3868801207942
Square Root with Quadratic Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ac0bba90>>
Square Root with Quadratic Term_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f832407eac0>>
Square Root with Quadratic Term_0_18,-x**4 + x,tensor(0.0771),-142.23107621515652
Square Root with Quadratic Term_0_19,x**2 + x + 1/x,tensor(0.0094),-11017.819394329974
Square Root with Quadratic Term_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f834c1204c0>>
Square Root with Quadratic Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ec14bbe0>>
Square Root with Quadratic Term_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83ec2402b0>>
Square Root with Quadratic Term_0_23,sqrt(x),tensor(0.),0
Square Root with Quadratic Term_0_24,4*x + 4*log(x),tensor(0.),0
Square Root with Quadratic Term_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f832c1b7a90>>
Square Root with Quadratic Term_0_26,x*(x + 5),tensor(0.0611),-235.26454330224203
Square Root with Quadratic Term_0_27,log(cos(x)),tensor(0.0793),-133.6976001539174
Square Root with Quadratic Term_0_28,2*exp(2*x),tensor(0.0597),-246.99360838418355
Square Root with Quadratic Term_0_29,2*x**2 + 4*x,tensor(0.0718),-166.3158224614485
Square Root with Quadratic Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f83780bfb50>>
Square Root with Quadratic Term_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f832c101c40>>
