 Nguyen-5_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab500f11c0>>
 Nguyen-5_0_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab500f1820>>
 Nguyen-5_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab500f1520>>
 Nguyen-5_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab500f10a0>>
 Nguyen-5_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab500f1e20>>
 Nguyen-5_0_5,3*log(x),tensor(0.),0
 Nguyen-5_0_6,atan(x) + 5,tensor(0.0602),-242.67268030205454
 Nguyen-5_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0230e20>>
 Nguyen-5_0_8,8*x**3,tensor(0.1182),-54.61541121829163
 Nguyen-5_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0271760>>
 Nguyen-5_0_10,x**6/6,tensor(0.2587),-7.213170837957394
 Nguyen-5_0_11,2*x*(x + sin(x)),tensor(0.1307),-43.25969245773139
 Nguyen-5_0_12,exp(x) + sin(x),tensor(0.1431),-34.830681422774404
 Nguyen-5_0_13,exp(x + 4),tensor(0.0052),-36496.78431517486
 Nguyen-5_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab300b66d0>>
 Nguyen-5_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaac79eb50>>
 Nguyen-5_0_16,x**2*(x + 6),tensor(0.0993),-81.32582441679001
 Nguyen-5_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0061460>>
 Nguyen-5_0_18,x**3*exp(-x),tensor(0.2990),-4.4972657373950105
 Nguyen-5_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf00a8df0>>
 Nguyen-5_0_20,x**3*(x + 6),tensor(0.1440),-34.36412307831133
 Nguyen-5_0_21,3*x*sin(x),tensor(0.1551),-28.672101065703504
 Nguyen-5_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf00a2220>>
 Nguyen-5_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0234250>>
 Nguyen-5_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0234130>>
 Nguyen-5_0_25,x**4 + x + exp(x),tensor(0.1317),-42.46141342093696
 Nguyen-5_0_26,0,tensor(0.),0
 Nguyen-5_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf04ef670>>
 Nguyen-5_0_28,2*x + 5,tensor(0.0599),-245.58727380179164
 Nguyen-5_0_29,x + tan(3),tensor(0.3039),-4.2442740923256395
 Nguyen-5_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faad00e8df0>>
 Nguyen-5_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf03cbfa0>>
 Nguyen-5_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf03cbac0>>
 Nguyen-5_0_33,x*log(x) - x,tensor(0.),0
 Nguyen-5_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf02c6dc0>>
 Nguyen-5_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf05500a0>>
 Nguyen-5_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0550400>>
 Nguyen-5_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0550220>>
 Nguyen-5_0_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf05501f0>>
 Nguyen-5_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0550f10>>
 Nguyen-5_0_40,x**3*(x + 4),tensor(0.1839),-18.70242905135062
 Nguyen-5_0_41,2*x + sinh(x),tensor(0.1831),-18.91453443378421
 Nguyen-5_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab30070ca0>>
 Nguyen-5_0_43,x + 4*cos(x),tensor(0.0802),-130.51308902445248
 Nguyen-5_0_44,4*x**2 + x,tensor(0.1281),-45.29571006226413
 Nguyen-5_0_45,x + (x + 4)**2,tensor(0.0210),-2166.317205924886
 Nguyen-5_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab501b4880>>
 Nguyen-5_0_47,x + sin(2*x),tensor(0.2193),-11.679617425837586
 Nguyen-5_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0374b80>>
 Nguyen-5_0_49,2*x**3 + 2,tensor(0.1124),-61.33457210637287
 Nguyen-5_0_50,sqrt(x + 2),tensor(0.1375),-38.31408278733448
 Nguyen-5_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf00a8c70>>
 Nguyen-5_0_52,x**2 + asinh(x),tensor(0.2190),-11.714602444349067
 Nguyen-5_0_53,x*(2*x + 3),tensor(0.1489),-31.6752966017863
 Nguyen-5_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faad00cdaf0>>
 Nguyen-5_0_55,log(x + 4)/5,tensor(0.2241),-10.990225529751
 Nguyen-5_0_56,x**3 + 2*x,tensor(0.2036),-14.307649929186397
 Nguyen-5_0_57,x + tan(x) + 2,tensor(0.1094),-65.31109951229121
 Nguyen-5_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faad00aa6a0>>
 Nguyen-5_0_59,2*x*(x + 1),tensor(0.1674),-23.741982853945032
 Nguyen-5_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf0234d30>>
 Nguyen-5_0_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faad00b8d00>>
 Nguyen-5_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf03eebe0>>
 Nguyen-5_0_63,3*exp(x),tensor(0.0746),-152.9184406375217
 Nguyen-5_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf03ee880>>
 Nguyen-5_0_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab101e4df0>>
 Nguyen-5_0_66,exp(x + 5),tensor(0.0019),-266406.09630407655
 Nguyen-5_0_67,x + cosh(sqrt(x)),tensor(0.),0
 Nguyen-5_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaac636ee0>>
 Nguyen-5_0_69,15/x**2,tensor(1.5315e-08),-4263587632273350.5
 Nguyen-5_0_70,x**2*exp(2),tensor(0.0854),-113.72353685493854
 Nguyen-5_0_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faad00cc400>>
 Nguyen-5_0_72,x*(x + cos(x) + 4),tensor(0.1254),-47.59985910539963
 Nguyen-5_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fab10074070>>
 Nguyen-5_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf00a2670>>
 Nguyen-5_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7faaf00a2340>>
 Nguyen-5_0_76,pi*x**2/2 + x,tensor(0.1937),-16.32543044424363
 Nguyen-5_0_77,(x + 1)*exp(x),tensor(0.1220),-50.76204893343656
