 Nguyen-5'_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a841c91f0>>
 Nguyen-5'_0_1,2*x**3,tensor(0.0801),-131.02156004962146
 Nguyen-5'_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a241e03a0>>
 Nguyen-5'_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a4c0b9100>>
 Nguyen-5'_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a8456b0a0>>
 Nguyen-5'_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c15af10>>
 Nguyen-5'_0_6,-sin(x),tensor(0.0790),-135.01770837903962
 Nguyen-5'_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a84316be0>>
 Nguyen-5'_0_8,sin(x + 1),tensor(0.0617),-230.0149284980565
 Nguyen-5'_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6406f70>>
 Nguyen-5'_0_10,5*x*atan(x),tensor(0.0451),-446.2742066041626
 Nguyen-5'_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a841e3370>>
 Nguyen-5'_0_12,4*log(x),tensor(0.),0
 Nguyen-5'_0_13,5*sinh(x),tensor(0.0433),-487.002739210072
 Nguyen-5'_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c081d90>>
 Nguyen-5'_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107610>>
 Nguyen-5'_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107c10>>
 Nguyen-5'_0_17,-x**2,tensor(0.0989),-81.996650164788
 Nguyen-5'_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a24053400>>
 Nguyen-5'_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e01078e0>>
 Nguyen-5'_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107eb0>>
 Nguyen-5'_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107e20>>
 Nguyen-5'_0_22,2*x + sinh(x),tensor(0.0624),-224.5324337331783
 Nguyen-5'_0_23,(x - 1/4)**4,tensor(0.0684),-184.70831884262915
 Nguyen-5'_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a4c0496a0>>
 Nguyen-5'_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a840ece50>>
 Nguyen-5'_0_26,x*(x + 5),tensor(0.0448),-453.7870032371668
 Nguyen-5'_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a2405cfd0>>
 Nguyen-5'_0_28,x + sin(x)*cos(x),tensor(0.0770),-142.84683437591292
 Nguyen-5'_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e010bfa0>>
 Nguyen-5'_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e01070a0>>
 Nguyen-5'_0_31,x*log(x) - x,tensor(0.),0
 Nguyen-5'_0_32,3*x - cos(x),tensor(0.0776),-140.33091411637335
 Nguyen-5'_0_33,x/6,tensor(0.0844),-116.82102482222231
 Nguyen-5'_0_34,cosh(2*x)/2,tensor(0.0566),-276.3006764457618
 Nguyen-5'_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a6c13eeb0>>
 Nguyen-5'_0_36,-2*x*sin(x) + 2*x,tensor(0.0853),-113.86016957639471
 Nguyen-5'_0_37,x**4/4 + exp(x),tensor(0.0513),-341.593326621499
 Nguyen-5'_0_38,-2*x**4 + x,tensor(0.0929),-94.26832046490995
 Nguyen-5'_0_39,3*x - sin(x),tensor(0.0727),-161.51351839771377
 Nguyen-5'_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e8138af0>>
 Nguyen-5'_0_41,x - sin(x),tensor(0.0843),-117.02683361106206
 Nguyen-5'_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a8422ae80>>
 Nguyen-5'_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a84143880>>
 Nguyen-5'_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a841e3340>>
 Nguyen-5'_0_45,(2*x - 1)*exp(-2*x),tensor(0.0243),-1608.711198020841
 Nguyen-5'_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c65382b0>>
 Nguyen-5'_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c0815b0>>
 Nguyen-5'_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6596a00>>
 Nguyen-5'_0_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e00b0520>>
 Nguyen-5'_0_50,x - cos(x),tensor(0.1334),-41.202427187248155
 Nguyen-5'_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e80bee20>>
 Nguyen-5'_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e00cba90>>
 Nguyen-5'_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e80b0e20>>
 Nguyen-5'_0_54,3*x/2,tensor(0.0784),-137.0505632740205
 Nguyen-5'_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c62f9fd0>>
 Nguyen-5'_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c62f9e20>>
 Nguyen-5'_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c1d3730>>
 Nguyen-5'_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c1d3430>>
 Nguyen-5'_0_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c1d3c70>>
 Nguyen-5'_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c1d34c0>>
 Nguyen-5'_0_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c1d3f10>>
 Nguyen-5'_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6557970>>
 Nguyen-5'_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6557580>>
 Nguyen-5'_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6557b80>>
 Nguyen-5'_0_65,x**2 - cos(x),tensor(0.1100),-64.48262692973695
 Nguyen-5'_0_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6557ee0>>
 Nguyen-5'_0_67,-2*x**3 + x,tensor(0.0821),-123.94772839817784
 Nguyen-5'_0_68,-2*x/3,tensor(0.0808),-128.3926013961885
 Nguyen-5'_0_69,3*sin(x),tensor(0.0663),-197.0228393624382
 Nguyen-5'_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a4c13fe80>>
 Nguyen-5'_0_71,x*exp(4) + 1,tensor(0.0050),-39629.1502395639
 Nguyen-5'_0_72,cos(x)**2,tensor(0.0610),-236.23356896528142
 Nguyen-5'_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c61ae250>>
 Nguyen-5'_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c61aed90>>
 Nguyen-5'_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c61aec40>>
 Nguyen-5'_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c61ae4c0>>
 Nguyen-5'_0_77,-x**4/4,tensor(0.0862),-111.49877579127497
 Nguyen-5'_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6311e50>>
 Nguyen-5'_0_79,tan(sqrt(x))**3,tensor(0.),0
 Nguyen-5'_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6185520>>
 Nguyen-5'_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6185160>>
 Nguyen-5'_0_82,2*x**2,tensor(0.0608),-237.44101165840425
 Nguyen-5'_0_83,0,tensor(0.),0
 Nguyen-5'_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a6c1f1f40>>
 Nguyen-5'_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6333040>>
 Nguyen-5'_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6333a00>>
 Nguyen-5'_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c6333280>>
 Nguyen-5'_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39c654d490>>
 Nguyen-5'_0_89,4*x + 1,tensor(0.0446),-456.8347288745155
 Nguyen-5'_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a6c166280>>
 Nguyen-5'_0_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107520>>
 Nguyen-5'_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107940>>
 Nguyen-5'_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0107850>>
 Nguyen-5'_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a841430a0>>
 Nguyen-5'_0_95,x**2/20,tensor(0.0834),-119.85197478622567
 Nguyen-5'_0_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a840ee400>>
 Nguyen-5'_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c089220>>
 Nguyen-5'_0_98,1,tensor(0.),0
 Nguyen-5'_0_99,4*x**2 + x,tensor(0.0467),-416.08733700362325
 Nguyen-5'_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c172d60>>
 Nguyen-5'_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a24136160>>
 Nguyen-5'_0_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a840ec040>>
 Nguyen-5'_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a840ec610>>
 Nguyen-5'_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a4c0f81c0>>
 Nguyen-5'_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a4c0f8cd0>>
 Nguyen-5'_0_106,exp(x) + tan(x),tensor(0.0492),-373.0601466896792
 Nguyen-5'_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e80dfb80>>
