Polynomial with Exponential Term_0_0,x + sinh(x),tensor(0.2093),-13.274666345730614
Polynomial with Exponential Term_0_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a6c043280>>
Polynomial with Exponential Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a6c0431f0>>
Polynomial with Exponential Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e80be8b0>>
Polynomial with Exponential Term_0_4,4*log(x),tensor(0.),0
Polynomial with Exponential Term_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c081130>>
Polynomial with Exponential Term_0_6,-sin(x),tensor(0.2062),-13.828244175237957
Polynomial with Exponential Term_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a2405cee0>>
Polynomial with Exponential Term_0_8,x**5/6,tensor(0.2078),-13.53148350475028
Polynomial with Exponential Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e819d7c0>>
Polynomial with Exponential Term_0_10,5*x*atan(x),tensor(0.2376),-9.301588803291661
Polynomial with Exponential Term_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a6c0d75b0>>
Polynomial with Exponential Term_0_12,4*log(x),tensor(0.),0
Polynomial with Exponential Term_0_13,5*exp(3*x),tensor(0.1031),-74.73500525891023
Polynomial with Exponential Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e812ed00>>
Polynomial with Exponential Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a84235a60>>
Polynomial with Exponential Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a241b5910>>
Polynomial with Exponential Term_0_17,-x**2,tensor(0.2014),-14.72783323416094
Polynomial with Exponential Term_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c078430>>
Polynomial with Exponential Term_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e80b0d30>>
Polynomial with Exponential Term_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a84143f40>>
Polynomial with Exponential Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e00d15b0>>
Polynomial with Exponential Term_0_22,x*(x + 1) + x,tensor(0.2162),-12.141541673074064
Polynomial with Exponential Term_0_23,(x + 5)**4,tensor(0.0035),-82721.3238133088
Polynomial with Exponential Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0100610>>
Polynomial with Exponential Term_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e0100700>>
Polynomial with Exponential Term_0_26,x*(x + 5),tensor(0.2135),-12.573675501604962
Polynomial with Exponential Term_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a0c0775b0>>
Polynomial with Exponential Term_0_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a84154340>>
Polynomial with Exponential Term_0_29,sin(x) + asinh(x),tensor(0.2093),-13.279667227188066
Polynomial with Exponential Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e00b01f0>>
Polynomial with Exponential Term_0_31,-x - cos(x),tensor(0.1933),-16.427115093242517
Polynomial with Exponential Term_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f39e00b0130>>
Polynomial with Exponential Term_0_33,4*x**2*sin(x),tensor(0.2090),-13.329361038804832
Polynomial with Exponential Term_0_34,(x + 5)*exp(x),tensor(0.4076),-1.113075040722669
Polynomial with Exponential Term_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f3a8430c3a0>>
Polynomial with Exponential Term_0_36,-4*x**2 + 4*x,tensor(0.1834),-18.82277324201463
Polynomial with Exponential Term_0_37,x**4/4 + exp(x),tensor(0.2334),-9.790534456471727
Polynomial with Exponential Term_0_38,x*asinh(x),tensor(0.2138),-12.52758093604236
