 Nguyen-5'_0_0,x + sinh(x),tensor(0.0720),-164.92207476116118
 Nguyen-5'_0_1,2*x**3,tensor(0.0795),-133.01774676809055
 Nguyen-5'_0_2,2*x**2*cos(x),tensor(0.0680),-186.9039159090351
 Nguyen-5'_0_3,x/(x + 6),tensor(0.0855),-113.33737545447255
 Nguyen-5'_0_4,x**2*cos(4),tensor(0.0943),-91.14965343613383
 Nguyen-5'_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780eeee0>>
 Nguyen-5'_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c140640>>
 Nguyen-5'_0_7,4*x + sin(x),tensor(0.0474),-403.01584997417797
 Nguyen-5'_0_8,acosh(x + 2),tensor(0.0519),-332.8164238169103
 Nguyen-5'_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a706518b0>>
 Nguyen-5'_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a70651970>>
 Nguyen-5'_0_11,2*x*sin(x),tensor(0.0642),-211.7743189821672
 Nguyen-5'_0_12,4*log(x),tensor(0.),0
 Nguyen-5'_0_13,2*x + tan(2),tensor(0.1154),-57.787228047218115
 Nguyen-5'_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a707bd7f0>>
 Nguyen-5'_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7df0>>
 Nguyen-5'_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d7970>>
 Nguyen-5'_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d7460>>
 Nguyen-5'_0_18,-x**4 + x,tensor(0.0883),-105.48475849900744
 Nguyen-5'_0_19,x**2 + x + sin(x),tensor(0.0656),-201.82033826723995
 Nguyen-5'_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7064b280>>
 Nguyen-5'_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7064bdf0>>
 Nguyen-5'_0_22,x*cos(4),tensor(0.0829),-121.31860218048332
 Nguyen-5'_0_23,sqrt(x),tensor(0.),0
 Nguyen-5'_0_24,4*x**2 + 4*x,tensor(0.0400),-573.5808834295099
 Nguyen-5'_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a70651100>>
 Nguyen-5'_0_26,x*(x + 5),tensor(0.0446),-458.46731398002817
 Nguyen-5'_0_27,log(x),tensor(0.),0
 Nguyen-5'_0_28,x*(x + exp(x)),tensor(0.0593),-250.22842152353726
 Nguyen-5'_0_29,2*x**2 + 4*x,tensor(0.0471),-409.10470855341373
 Nguyen-5'_0_30,4*log(x),tensor(0.),0
 Nguyen-5'_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c10f100>>
 Nguyen-5'_0_32,3*tan(x),tensor(0.0551),-293.32899606580963
 Nguyen-5'_0_33,x*cosh(x) + 4*x,tensor(0.0447),-455.43408318660926
 Nguyen-5'_0_34,5*asin(x),tensor(0.0414),-535.7213704843576
 Nguyen-5'_0_35,x*cosh(3),tensor(0.0264),-1355.0659356986532
 Nguyen-5'_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0a30>>
 Nguyen-5'_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0e0d90>>
 Nguyen-5'_0_38,log(x)/4,tensor(0.),0
 Nguyen-5'_0_39,x*(x - 1)*exp(x),tensor(0.0802),-130.6150092482702
 Nguyen-5'_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148df0>>
 Nguyen-5'_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810eca0>>
 Nguyen-5'_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810e460>>
 Nguyen-5'_0_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810eb80>>
 Nguyen-5'_0_44,x**2/2 + x*sinh(x),tensor(0.0660),-199.4381034015513
 Nguyen-5'_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e490>>
 Nguyen-5'_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810ed30>>
 Nguyen-5'_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4220>>
 Nguyen-5'_0_48,x*exp(acos(x)) + 2,tensor(0.0307),-995.7377292141637
 Nguyen-5'_0_49,x*log(x) + 2*x,tensor(0.),0
 Nguyen-5'_0_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc074910>>
 Nguyen-5'_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc074d90>>
 Nguyen-5'_0_52,-2*cos(3*x)/3,tensor(0.0852),-114.33973917850955
 Nguyen-5'_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0745b0>>
 Nguyen-5'_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0b4d00>>
 Nguyen-5'_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a70651610>>
 Nguyen-5'_0_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a70651b50>>
 Nguyen-5'_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a706510a0>>
 Nguyen-5'_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a70651520>>
 Nguyen-5'_0_59,0,tensor(0.),0
 Nguyen-5'_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f44f0>>
 Nguyen-5'_0_61,-x**2 + x,tensor(0.0937),-92.46136636542806
 Nguyen-5'_0_62,2*x**3 + x,tensor(0.0704),-173.3112861225366
 Nguyen-5'_0_63,cos(x + 5),tensor(0.0741),-154.96881856523393
 Nguyen-5'_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780ee130>>
 Nguyen-5'_0_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780ee190>>
 Nguyen-5'_0_66,2*cos(x) + tan(x),tensor(0.0447),-455.1096504773624
 Nguyen-5'_0_67,x**3,tensor(0.0838),-118.41609965478492
 Nguyen-5'_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780350a0>>
 Nguyen-5'_0_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780356d0>>
 Nguyen-5'_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780351c0>>
 Nguyen-5'_0_71,10/x**2,tensor(2.5910e-06),-148963390568.94873
 Nguyen-5'_0_72,2*x + tan(x),tensor(0.0603),-241.7960277125605
 Nguyen-5'_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab40a08b0>>
 Nguyen-5'_0_74,2*x + 10,tensor(0.0138),-5075.724238781365
 Nguyen-5'_0_75,zoo,tensor(0.),0
 Nguyen-5'_0_76,x*exp(x + 5),tensor(0.0012),-669633.1177985532
 Nguyen-5'_0_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a780eef10>>
 Nguyen-5'_0_78,-cos(2*x),tensor(0.1085),-66.44924244014673
 Nguyen-5'_0_79,20*x,tensor(0.0139),-5055.23691136643
 Nguyen-5'_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1054c0>>
 Nguyen-5'_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1418e0>>
 Nguyen-5'_0_82,sin(sqrt(x))**2,tensor(0.),0
 Nguyen-5'_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f5bb0>>
 Nguyen-5'_0_84,-sinh(x),tensor(0.0797),-132.25406329205904
 Nguyen-5'_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c063c40>>
 Nguyen-5'_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c057b80>>
 Nguyen-5'_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0577f0>>
 Nguyen-5'_0_88,2*x**3*sin(x),tensor(0.0712),-169.41216451019537
 Nguyen-5'_0_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc073d90>>
 Nguyen-5'_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7040>>
 Nguyen-5'_0_91,x**2*(2 - x),tensor(0.0613),-233.8740039990047
 Nguyen-5'_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f70d0>>
 Nguyen-5'_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5a7810e940>>
 Nguyen-5'_0_94,x/5,tensor(0.0851),-114.54615988455198
 Nguyen-5'_0_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062a90>>
 Nguyen-5'_0_96,8*x**2,tensor(0.0319),-921.3887747710912
 Nguyen-5'_0_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc03c070>>
 Nguyen-5'_0_98,-2*x,tensor(0.0712),-168.9234043204427
 Nguyen-5'_0_99,x + sqrt(x**3),tensor(0.),0
 Nguyen-5'_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b9580>>
 Nguyen-5'_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1bd7c0>>
 Nguyen-5'_0_102,exp(x/6),tensor(0.0562),-280.9735615777425
 Nguyen-5'_0_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4062d60>>
 Nguyen-5'_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc159460>>
 Nguyen-5'_0_105,acos(4*x),tensor(0.),0
 Nguyen-5'_0_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7b80>>
 Nguyen-5'_0_107,x*cos(2),tensor(0.0841),-117.61025355706603
 Nguyen-5'_0_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148280>>
 Nguyen-5'_0_109,0,tensor(0.),0
