Polynomial with Complex Roots_0_0,x**3 + 2*x**2 + x,tensor(0.2444),-8.554996892948866
Polynomial with Complex Roots_0_1,2*x**3,tensor(0.2202),-11.542020341035691
Polynomial with Complex Roots_0_2,2*x**2*cos(x),tensor(0.2321),-9.952089332499128
Polynomial with Complex Roots_0_3,x/(x + 6),tensor(0.2171),-12.000733193788626
Polynomial with Complex Roots_0_4,x**2*cos(5),tensor(0.2197),-11.607421661988306
Polynomial with Complex Roots_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7e20>>
Polynomial with Complex Roots_0_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0b7dc0>>
Polynomial with Complex Roots_0_7,4*x + sin(x),tensor(0.2151),-12.313609353214574
Polynomial with Complex Roots_0_8,acosh(x + 2),tensor(0.2605),-7.059610194128462
Polynomial with Complex Roots_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10da30>>
Polynomial with Complex Roots_0_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10d700>>
Polynomial with Complex Roots_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e370>>
Polynomial with Complex Roots_0_12,4*log(x),tensor(0.),0
Polynomial with Complex Roots_0_13,exp(x) + sin(x),tensor(0.2638),-6.787222263703747
Polynomial with Complex Roots_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1daa90>>
Polynomial with Complex Roots_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab4091f10>>
Polynomial with Complex Roots_0_16,x + sinh(x),tensor(0.2212),-11.396519355248541
Polynomial with Complex Roots_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e7fa0>>
Polynomial with Complex Roots_0_18,-x**2 + x,tensor(0.2093),-13.271163468936484
Polynomial with Complex Roots_0_19,x**2 + x + sin(x),tensor(0.2326),-9.88869541347546
Polynomial with Complex Roots_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f5cd0>>
Polynomial with Complex Roots_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f5c10>>
Polynomial with Complex Roots_0_22,x*cos(4),tensor(0.2140),-12.487423771348567
Polynomial with Complex Roots_0_23,sqrt(x),tensor(0.),0
Polynomial with Complex Roots_0_24,5*x + 8,tensor(0.3713),-1.8674193390461724
Polynomial with Complex Roots_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d2e0>>
Polynomial with Complex Roots_0_26,x*(x + 5),tensor(0.2253),-10.825490666293057
