Polynomial with Exponential Term_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7e815c5e0>>
Polynomial with Exponential Term_0_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7e815c8e0>>
Polynomial with Exponential Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb85824b610>>
Polynomial with Exponential Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb81811d910>>
Polynomial with Exponential Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb858123d30>>
Polynomial with Exponential Term_0_5,3*log(x),tensor(0.),0
Polynomial with Exponential Term_0_6,-2*x - sin(x),tensor(0.1996),-15.084602952120797
Polynomial with Exponential Term_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb8181f52b0>>
Polynomial with Exponential Term_0_8,8*x**3,tensor(0.2104),-13.081226676881224
Polynomial with Exponential Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb85009f4c0>>
Polynomial with Exponential Term_0_10,x**6/6,tensor(0.2083),-13.446614165802371
Polynomial with Exponential Term_0_11,2*x*(x + 5),tensor(0.2109),-13.004535416921401
Polynomial with Exponential Term_0_12,exp(x) + sin(x),tensor(0.2344),-9.667159671163063
Polynomial with Exponential Term_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80bb4f0>>
Polynomial with Exponential Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a810c490>>
Polynomial with Exponential Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a810cc40>>
Polynomial with Exponential Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a810c4f0>>
Polynomial with Exponential Term_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7b01b4220>>
Polynomial with Exponential Term_0_18,x**3*exp(-x),tensor(0.2051),-14.023862770876878
Polynomial with Exponential Term_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7b018f970>>
Polynomial with Exponential Term_0_20,x**3/sin(1),tensor(0.2093),-13.27617188047129
Polynomial with Exponential Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb818127c40>>
Polynomial with Exponential Term_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7f00b7190>>
Polynomial with Exponential Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7e807fd00>>
Polynomial with Exponential Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb8580b3ac0>>
Polynomial with Exponential Term_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb85827deb0>>
Polynomial with Exponential Term_0_26,0,tensor(0.),0
Polynomial with Exponential Term_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7f0175c70>>
Polynomial with Exponential Term_0_28,2*x + 5,tensor(0.3590),-2.188994439081773
Polynomial with Exponential Term_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb858392cd0>>
Polynomial with Exponential Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb8580b0130>>
Polynomial with Exponential Term_0_31,x + cos(x) + tanh(x),tensor(0.2264),-10.675076580688241
Polynomial with Exponential Term_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7e8176f70>>
Polynomial with Exponential Term_0_33,4*x,tensor(0.2117),-12.861668677335219
Polynomial with Exponential Term_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80c3b80>>
Polynomial with Exponential Term_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80c3e20>>
Polynomial with Exponential Term_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80c3400>>
Polynomial with Exponential Term_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80c32b0>>
Polynomial with Exponential Term_0_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80c39a0>>
Polynomial with Exponential Term_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80768b0>>
Polynomial with Exponential Term_0_40,x**3*(x + 4),tensor(0.2153),-12.278995943710507
Polynomial with Exponential Term_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a80769a0>>
Polynomial with Exponential Term_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7a8076d30>>
Polynomial with Exponential Term_0_43,x + 4*cos(x),tensor(0.2851),-5.286692093132822
Polynomial with Exponential Term_0_44,2*x**2 + x,tensor(0.2228),-11.165142389116655
Polynomial with Exponential Term_0_45,x + tan(x + 4),tensor(0.0172),-3268.029566229512
Polynomial with Exponential Term_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fb7b0076910>>
Polynomial with Exponential Term_0_47,x + sin(2*x),tensor(0.2112),-12.949618215297127
