Polynomial with Complex Roots_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c0f2670>>
Polynomial with Complex Roots_0_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc072790>>
Polynomial with Complex Roots_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7601777f0>>
Polynomial with Complex Roots_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa760177640>>
Polynomial with Complex Roots_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738279100>>
Polynomial with Complex Roots_0_5,3*log(x),tensor(0.),0
Polynomial with Complex Roots_0_6,atan(x) + 5,tensor(0.5462),0.3097458860380874
Polynomial with Complex Roots_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738373c10>>
Polynomial with Complex Roots_0_8,8 - x,tensor(0.3337),-2.9871558116784986
Polynomial with Complex Roots_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa760155520>>
Polynomial with Complex Roots_0_10,-x**2/6,tensor(0.2135),-12.565340138340304
Polynomial with Complex Roots_0_11,2*x*(x + 5),tensor(0.1949),-16.071325510952985
Polynomial with Complex Roots_0_12,2*x + tan(x),tensor(0.2193),-11.670200224307358
Polynomial with Complex Roots_0_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc125a90>>
Polynomial with Complex Roots_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738106c10>>
Polynomial with Complex Roots_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c1745b0>>
Polynomial with Complex Roots_0_16,x**2 + 26*x + sin(x),tensor(0.0963),-87.13090944442797
Polynomial with Complex Roots_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa76017eeb0>>
Polynomial with Complex Roots_0_18,x**3*exp(-x),tensor(0.2107),-13.039128553165522
Polynomial with Complex Roots_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7dc0978e0>>
Polynomial with Complex Roots_0_20,(x + 6)/x,tensor(0.0016),-377659.9592951144
Polynomial with Complex Roots_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc1c0550>>
Polynomial with Complex Roots_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c149850>>
Polynomial with Complex Roots_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa78406a610>>
Polynomial with Complex Roots_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa78406aaf0>>
Polynomial with Complex Roots_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa78406a760>>
Polynomial with Complex Roots_0_26,-4*x - tan(x),tensor(0.1823),-19.12670498494442
Polynomial with Complex Roots_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7385324c0>>
Polynomial with Complex Roots_0_28,2*x + 5,tensor(0.6266),0.6450332520018887
Polynomial with Complex Roots_0_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7165b8f10>>
Polynomial with Complex Roots_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4070>>
Polynomial with Complex Roots_0_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a44c0>>
Polynomial with Complex Roots_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4bb0>>
Polynomial with Complex Roots_0_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4d60>>
Polynomial with Complex Roots_0_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a40d0>>
Polynomial with Complex Roots_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4ee0>>
Polynomial with Complex Roots_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4190>>
Polynomial with Complex Roots_0_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4430>>
Polynomial with Complex Roots_0_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4fa0>>
Polynomial with Complex Roots_0_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4880>>
Polynomial with Complex Roots_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a46d0>>
Polynomial with Complex Roots_0_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a45e0>>
Polynomial with Complex Roots_0_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384a4850>>
Polynomial with Complex Roots_0_43,x + 4*cos(x),tensor(0.3725),-1.8377049817273328
Polynomial with Complex Roots_0_44,4*x**2 + x,tensor(0.2647),-6.718554244140569
Polynomial with Complex Roots_0_45,x*(1 - x) + x,tensor(0.2094),-13.255687198685346
Polynomial with Complex Roots_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc05a4c0>>
Polynomial with Complex Roots_0_47,x + sin(2*x),tensor(0.2198),-11.60099712292573
Polynomial with Complex Roots_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7165b5c40>>
Polynomial with Complex Roots_0_49,2 - 2*x,tensor(0.2626),-6.887787013963084
Polynomial with Complex Roots_0_50,sqrt(x + 2),tensor(0.2643),-6.746616490459735
Polynomial with Complex Roots_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c1720a0>>
Polynomial with Complex Roots_0_52,x**2 + cos(x),tensor(0.2538),-7.647890868353748
Polynomial with Complex Roots_0_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa78406a9d0>>
Polynomial with Complex Roots_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7600d6400>>
Polynomial with Complex Roots_0_55,log(x + 4)/5,tensor(0.2233),-11.097896049315105
Polynomial with Complex Roots_0_56,x**5 + 3*x,tensor(0.2191),-11.705261972756098
Polynomial with Complex Roots_0_57,x + tan(x) + 2,tensor(0.3020),-4.340594016439654
Polynomial with Complex Roots_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa784077fd0>>
Polynomial with Complex Roots_0_59,2*x*(x + 1),tensor(0.2428),-8.723427794856715
Polynomial with Complex Roots_0_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa73812cb50>>
Polynomial with Complex Roots_0_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7601254f0>>
Polynomial with Complex Roots_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c156790>>
Polynomial with Complex Roots_0_63,3*x**(4/3),tensor(0.),0
Polynomial with Complex Roots_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa760078a90>>
Polynomial with Complex Roots_0_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa73833a700>>
Polynomial with Complex Roots_0_66,exp(x + 5),tensor(0.0083),-14290.919108458955
Polynomial with Complex Roots_0_67,x + cosh(sqrt(x)),tensor(0.),0
Polynomial with Complex Roots_0_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7dc05bb20>>
Polynomial with Complex Roots_0_69,-exp(2*x),tensor(0.1642),-24.91432684519873
Polynomial with Complex Roots_0_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7dc13be20>>
Polynomial with Complex Roots_0_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7382b3400>>
Polynomial with Complex Roots_0_72,x*(x + cos(x) + 4),tensor(0.2258),-10.75786255244254
Polynomial with Complex Roots_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384fcdc0>>
Polynomial with Complex Roots_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384fc820>>
Polynomial with Complex Roots_0_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7384fc280>>
Polynomial with Complex Roots_0_76,-x**3/3 + x,tensor(0.2178),-11.899897761669331
Polynomial with Complex Roots_0_77,(x - 1)*exp(x),tensor(0.1957),-15.89017198748629
Polynomial with Complex Roots_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc130970>>
Polynomial with Complex Roots_0_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738106a00>>
Polynomial with Complex Roots_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738106a60>>
Polynomial with Complex Roots_0_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7381065b0>>
Polynomial with Complex Roots_0_82,tan(2)/x,tensor(0.0044),-50117.338249533306
Polynomial with Complex Roots_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738172640>>
Polynomial with Complex Roots_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa738172ee0>>
