Square Root with Quadratic Term_0_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7840fde50>>
Square Root with Quadratic Term_0_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7dc1a30d0>>
Square Root with Quadratic Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa73846c820>>
Square Root with Quadratic Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c149b80>>
Square Root with Quadratic Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc14c250>>
Square Root with Quadratic Term_0_5,5*log(x),tensor(0.),0
Square Root with Quadratic Term_0_6,atan(x) + 5,tensor(0.0966),-86.47843923892287
Square Root with Quadratic Term_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc0cb910>>
Square Root with Quadratic Term_0_8,3*x + 8,tensor(0.0432),-489.4957552424729
Square Root with Quadratic Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa760078b50>>
Square Root with Quadratic Term_0_10,x**6/6,tensor(0.0841),-117.5155773529758
Square Root with Quadratic Term_0_11,2*x*acos(4),tensor(0.),0
Square Root with Quadratic Term_0_12,exp(x) + sin(x),tensor(0.1114),-62.640723343686396
Square Root with Quadratic Term_0_13,exp(x + 4),tensor(0.0035),-79657.71649705163
Square Root with Quadratic Term_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7165f0dc0>>
Square Root with Quadratic Term_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc07d2b0>>
Square Root with Quadratic Term_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7840795e0>>
Square Root with Quadratic Term_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7dc05eb50>>
Square Root with Quadratic Term_0_18,x**3*exp(-x),tensor(0.0766),-144.23206501623832
Square Root with Quadratic Term_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa784079100>>
Square Root with Quadratic Term_0_20,x*(x + 6),tensor(0.0552),-291.82147767719596
Square Root with Quadratic Term_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7382b3bb0>>
Square Root with Quadratic Term_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa79c160b80>>
Square Root with Quadratic Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc11fa30>>
Square Root with Quadratic Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7bc11ff10>>
Square Root with Quadratic Term_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa7383a7f40>>
