 Nguyen-2_0_0,2*asin(x) + atanh(x),tensor(0.4083),-1.0999443294539586
 Nguyen-2_0_1,x + sin(x),tensor(0.5628),0.39657388510876745
 Nguyen-2_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6ddaa5b0>>
 Nguyen-2_0_3,2*x**2 + exp(x),tensor(0.4424),-0.588310254216831
 Nguyen-2_0_4,-x + exp(2*x),tensor(0.4584),-0.39591470652491423
 Nguyen-2_0_5,2*x*(x + 4),tensor(0.2265),-10.663399552083396
 Nguyen-2_0_6,2*x**4 + x,tensor(0.7314),0.8651664263053521
 Nguyen-2_0_7,-x**2 + log(x),tensor(0.),0
 Nguyen-2_0_8,x/(3*x + 2),tensor(0.2105),-13.06541789982691
 Nguyen-2_0_9,x*asinh(2),tensor(0.5757),0.4569520183696223
 Nguyen-2_0_10,x**5,tensor(0.5233),0.17022229980263082
 Nguyen-2_0_11,x*(2*x + 2),tensor(0.7934),0.9322282584440574
 Nguyen-2_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69a90280>>
 Nguyen-2_0_13,x*exp(6),tensor(0.0046),-46643.607640909104
 Nguyen-2_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec1a99a0>>
 Nguyen-2_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec1a9940>>
 Nguyen-2_0_16,4*x*cos(2*x),tensor(0.4255),-0.8227728212834984
 Nguyen-2_0_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68c43fd0>>
 Nguyen-2_0_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3ac0>>
 Nguyen-2_0_19,x + cos(3*x),tensor(0.4483),-0.5146513124314511
 Nguyen-2_0_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e762365b0>>
 Nguyen-2_0_21,-sin(x),tensor(0.4042),-1.1735966165666811
 Nguyen-2_0_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c159d00>>
 Nguyen-2_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c159ac0>>
 Nguyen-2_0_24,x**5*cosh(x),tensor(0.5381),0.26343720369897916
 Nguyen-2_0_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3b50>>
 Nguyen-2_0_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3a30>>
 Nguyen-2_0_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3be0>>
 Nguyen-2_0_28,x**2*(x + 3),tensor(0.5507),0.33413991943235277
 Nguyen-2_0_29,8*x**3,tensor(0.3197),-3.5291040024284595
 Nguyen-2_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f64084310>>
 Nguyen-2_0_31,x + 6,tensor(0.1704),-22.696149480032066
 Nguyen-2_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60dc7dc0>>
 Nguyen-2_0_33,5*x*(x**2 + x),tensor(0.3802),-1.6581666274748934
 Nguyen-2_0_34,cos(x)**2,tensor(0.4715),-0.2561495105623208
 Nguyen-2_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3c70>>
 Nguyen-2_0_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f6404d340>>
 Nguyen-2_0_37,4*x**3 + 2*x,tensor(0.3622),-2.101470526837859
 Nguyen-2_0_38,x**3*sin(1),tensor(0.5300),0.21332779306940108
 Nguyen-2_0_39,x*(2 - x),tensor(0.4565),-0.41699776844387015
 Nguyen-2_0_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f98af0>>
 Nguyen-2_0_41,2*x - log(cos(x)),tensor(0.6389),0.680512271938782
 Nguyen-2_0_42,x**3 + 4*x,tensor(0.3543),-2.3214995939971503
 Nguyen-2_0_43,x**3*cosh(x) + x,tensor(0.5755),0.45586172895659827
 Nguyen-2_0_44,x*(x**2 + x),tensor(0.6235),0.63540476784599
 Nguyen-2_0_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76236a60>>
 Nguyen-2_0_46,5*cosh(x),tensor(0.1679),-23.55602167076452
 Nguyen-2_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76236a90>>
 Nguyen-2_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e762360d0>>
 Nguyen-2_0_49,0,tensor(0.),0
 Nguyen-2_0_50,x - 2*exp(x),tensor(0.2513),-7.880403888835669
 Nguyen-2_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e762364f0>>
 Nguyen-2_0_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6ddaa370>>
 Nguyen-2_0_53,tan(3)/x,tensor(0.4197),-0.9115367167344057
 Nguyen-2_0_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac120550>>
 Nguyen-2_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac49c280>>
 Nguyen-2_0_56,5*x + exp(x),tensor(0.2923),-4.864427667774617
 Nguyen-2_0_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac52f640>>
 Nguyen-2_0_58,x*asinh(5),tensor(0.5370),0.25667754480370486
 Nguyen-2_0_59,2*x**2 + 4*x,tensor(0.4397),-0.6233513748480815
 Nguyen-2_0_60,x*(x**2 + 3),tensor(0.4265),-0.808307209993238
 Nguyen-2_0_61,x + 1,tensor(0.5804),0.47753345080581255
 Nguyen-2_0_62,5*x**2*tan(x),tensor(0.3564),-2.2614103014019724
 Nguyen-2_0_63,x/(1 - x),tensor(0.2699),-6.315662829309097
 Nguyen-2_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76236760>>
 Nguyen-2_0_65,x*(x**3 + x),tensor(0.5346),0.24226137067291187
 Nguyen-2_0_66,x + 2/x,tensor(0.0955),-88.78296054364561
 Nguyen-2_0_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f6439f1f0>>
 Nguyen-2_0_68,5*log(x),tensor(0.),0
 Nguyen-2_0_69,2*tanh(x),tensor(0.5672),0.4176223333546878
 Nguyen-2_0_70,x**3 + 2*x,tensor(0.5170),0.1274777647897536
 Nguyen-2_0_71,x**6,tensor(0.5121),0.09225363109389284
 Nguyen-2_0_72,2*x**2 + x,tensor(0.7168),0.8439069612587473
 Nguyen-2_0_73,x*(x**2*exp(x) + 2) + x,tensor(0.4353),-0.6828579116979445
 Nguyen-2_0_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c159100>>
 Nguyen-2_0_75,x*sin(x)**3,tensor(0.5069),0.05358851944041598
 Nguyen-2_0_76,x*(x + 3) + x,tensor(0.4252),-0.827509972744999
 Nguyen-2_0_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6ddaacd0>>
 Nguyen-2_0_78,18*x**2,tensor(0.1263),-46.84832602499457
 Nguyen-2_0_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68c43b50>>
 Nguyen-2_0_80,x*(x + log(3*x)),tensor(0.),0
 Nguyen-2_0_81,2*x**2 + x*tan(2),tensor(0.3257),-3.2856813475038837
 Nguyen-2_0_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac49c730>>
 Nguyen-2_0_83,8*x**2,tensor(0.2603),-7.072526742893544
 Nguyen-2_0_84,x + cos(2*x),tensor(0.5136),0.1030575516372576
 Nguyen-2_0_85,x*(x + asinh(x)),tensor(0.5260),0.18790223051327581
