Polynomial with Complex Roots_0_0,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_1,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_2,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f64084310>>
Polynomial with Complex Roots_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f640844f0>>
Polynomial with Complex Roots_0_5,sinh(2*x + 2),tensor(0.2310),-10.082909211962088
Polynomial with Complex Roots_0_6,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60d3a160>>
Polynomial with Complex Roots_0_8,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_9,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_10,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_11,x**3*cos(2),tensor(0.2157),-12.223616366291326
Polynomial with Complex Roots_0_12,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_13,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_14,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_15,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_16,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_17,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_18,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_19,x**2 + exp(x),tensor(0.2766),-5.842441141308463
Polynomial with Complex Roots_0_20,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_21,x/sqrt(1 - x**2),tensor(0.2169),-12.02993735334094
Polynomial with Complex Roots_0_22,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_23,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c182fa0>>
Polynomial with Complex Roots_0_25,x*tan(4),tensor(0.2185),-11.799059712630138
Polynomial with Complex Roots_0_26,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_27,x + cos(x) + 1,tensor(0.2879),-5.119333541782259
Polynomial with Complex Roots_0_28,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_29,3*cos(x),tensor(0.3118),-3.871926754926763
Polynomial with Complex Roots_0_30,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_31,2*x*cosh(x),tensor(0.2174),-11.962268450530235
Polynomial with Complex Roots_0_32,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_33,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_34,x*atan(atan(x)),tensor(0.2247),-10.907475993523446
Polynomial with Complex Roots_0_35,cos(x) + 1,tensor(0.2819),-5.486784725512222
Polynomial with Complex Roots_0_36,x**2/(x + 2),tensor(0.2222),-11.24979497217261
Polynomial with Complex Roots_0_37,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_38,2*x*tan(1),tensor(0.2163),-12.126217562352316
Polynomial with Complex Roots_0_39,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_40,x*(x**2 + x)**3,tensor(0.2394),-9.097735684492573
Polynomial with Complex Roots_0_41,1 - x,tensor(0.2426),-8.75057610724429
Polynomial with Complex Roots_0_42,log(x + 1),tensor(0.2084),-13.425397787449752
Polynomial with Complex Roots_0_43,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_44,(x + 2)**2,tensor(0.4837),-0.13926304321994043
Polynomial with Complex Roots_0_45,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c182e20>>
Polynomial with Complex Roots_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e692dfbe0>>
Polynomial with Complex Roots_0_48,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_49,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_50,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_51,x + cos(x),tensor(0.2451),-8.48282892834546
Polynomial with Complex Roots_0_52,4*cos(x),tensor(0.3570),-2.2446183463360483
Polynomial with Complex Roots_0_53,x*(x + 2 + 1/x),tensor(0.2688),-6.401321160097905
Polynomial with Complex Roots_0_54,x + 1,tensor(0.2521),-7.801595983193241
Polynomial with Complex Roots_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69089a90>>
Polynomial with Complex Roots_0_56,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_57,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_58,x*sin(x)**3,tensor(0.2210),-11.421218813135145
Polynomial with Complex Roots_0_59,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_60,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_61,exp(2*x + 4),tensor(0.0120),-6759.36194261894
Polynomial with Complex Roots_0_62,cos(x),tensor(0.2421),-8.803379222941103
Polynomial with Complex Roots_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac372b20>>
Polynomial with Complex Roots_0_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac3728b0>>
Polynomial with Complex Roots_0_65,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_66,x*(x + 3),tensor(0.2283),-10.424525074084336
Polynomial with Complex Roots_0_67,3*cos(x),tensor(0.3118),-3.871926754926763
Polynomial with Complex Roots_0_68,x**3 + 3*x,tensor(0.2147),-12.386112932595882
Polynomial with Complex Roots_0_69,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_70,5*sin(x),tensor(0.2108),-13.017247708809279
Polynomial with Complex Roots_0_71,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_72,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60d3ad00>>
Polynomial with Complex Roots_0_74,exp(cosh(x)),tensor(0.3702),-1.8949068644230334
Polynomial with Complex Roots_0_75,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0f4bb0>>
Polynomial with Complex Roots_0_77,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761172e0>>
Polynomial with Complex Roots_0_79,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0e4370>>
Polynomial with Complex Roots_0_81,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_82,sin(x + 3),tensor(0.2164),-12.105733734819186
Polynomial with Complex Roots_0_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0e45e0>>
Polynomial with Complex Roots_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76335d90>>
Polynomial with Complex Roots_0_85,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76335940>>
Polynomial with Complex Roots_0_87,x*(x + 1),tensor(0.2298),-10.228595276940679
Polynomial with Complex Roots_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c182b20>>
Polynomial with Complex Roots_0_89,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1c9460>>
Polynomial with Complex Roots_0_91,x + log(3*x),tensor(0.),0
Polynomial with Complex Roots_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60d3a730>>
Polynomial with Complex Roots_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60d3aeb0>>
Polynomial with Complex Roots_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60d3a520>>
Polynomial with Complex Roots_0_95,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_96,2*sin(x),tensor(0.2185),-11.788990235538842
Polynomial with Complex Roots_0_97,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60d3a550>>
Polynomial with Complex Roots_0_99,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76335c70>>
Polynomial with Complex Roots_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76117c70>>
Polynomial with Complex Roots_0_102,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_103,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76117550>>
Polynomial with Complex Roots_0_105,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_106,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_107,4*x**4,tensor(0.2424),-8.768727424218975
Polynomial with Complex Roots_0_108,x**2/sin(1),tensor(0.2295),-10.273260858469655
Polynomial with Complex Roots_0_109,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_110,x*(x**3 + x),tensor(0.2342),-9.695869561401583
Polynomial with Complex Roots_0_111,x + cos(x) + 2,tensor(0.3470),-2.5422576446312632
Polynomial with Complex Roots_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0e4a60>>
Polynomial with Complex Roots_0_113,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_114,x*(x + 2)*exp(x),tensor(0.2594),-7.154268943836817
Polynomial with Complex Roots_0_115,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_116,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac372d30>>
Polynomial with Complex Roots_0_118,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_119,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_120,cos(x) + 2,tensor(0.3345),-2.956609717495549
Polynomial with Complex Roots_0_121,3,tensor(0.),0
Polynomial with Complex Roots_0_122,x*(x + 1),tensor(0.2298),-10.228595276940679
