Polynomial with Exponential Term_0_0,x*cos(x),tensor(0.2086),-13.396233974702412
Polynomial with Exponential Term_0_1,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f64084310>>
Polynomial with Exponential Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3b80>>
Polynomial with Exponential Term_0_4,sin(x + 2),tensor(0.2203),-11.519791492363723
Polynomial with Exponential Term_0_5,tan(asinh(x)),tensor(0.2089),-13.338651792146702
Polynomial with Exponential Term_0_6,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_7,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_8,3*x + 1,tensor(0.2283),-10.419732006378709
Polynomial with Exponential Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60da9a00>>
Polynomial with Exponential Term_0_10,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_11,sin(x) + tan(x),tensor(0.2093),-13.27414269886679
Polynomial with Exponential Term_0_12,sinh(x),tensor(0.2089),-13.34060697684781
Polynomial with Exponential Term_0_13,tan(x),tensor(0.2090),-13.320863778799232
Polynomial with Exponential Term_0_14,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_15,sinh(x),tensor(0.2089),-13.34060697684781
Polynomial with Exponential Term_0_16,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_17,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_18,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_19,sinh(x) - 1,tensor(0.1928),-16.53094445501322
Polynomial with Exponential Term_0_20,-x*tan(1),tensor(0.2047),-14.089061295765184
Polynomial with Exponential Term_0_21,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_22,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698ff3a0>>
Polynomial with Exponential Term_0_24,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_25,tan(x),tensor(0.2090),-13.320863778799232
Polynomial with Exponential Term_0_26,x*tan(4),tensor(0.2089),-13.33339941546857
Polynomial with Exponential Term_0_27,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_28,tan(x),tensor(0.2090),-13.320863778799232
Polynomial with Exponential Term_0_29,x + sin(x),tensor(0.2093),-13.277306505882542
Polynomial with Exponential Term_0_30,cos(3*x),tensor(0.2061),-13.829682082675628
Polynomial with Exponential Term_0_31,acos(3*x),tensor(0.),0
Polynomial with Exponential Term_0_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0b32e0>>
Polynomial with Exponential Term_0_33,2*sin(x + 1),tensor(0.2356),-9.529926146157898
Polynomial with Exponential Term_0_34,sin(x) + tan(x) + 1,tensor(0.2285),-10.394750954080063
Polynomial with Exponential Term_0_35,x*(x + 1),tensor(0.2156),-12.232951870843515
Polynomial with Exponential Term_0_36,x + sin(3),tensor(0.2113),-12.930441102393996
Polynomial with Exponential Term_0_37,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_38,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_39,sin(x) + 10,tensor(0.5282),0.20225016259398387
Polynomial with Exponential Term_0_40,x*sin(5),tensor(0.2060),-13.847929617218249
Polynomial with Exponential Term_0_41,6*x,tensor(0.2045),-14.139873812731707
Polynomial with Exponential Term_0_42,sinh(x) - tanh(x),tensor(0.2081),-13.489251894735329
Polynomial with Exponential Term_0_43,x + sin(x),tensor(0.2093),-13.277306505882542
Polynomial with Exponential Term_0_44,x*asin(x),tensor(0.2155),-12.252523606994517
Polynomial with Exponential Term_0_45,sin(x) - 2,tensor(0.1789),-20.071319741853006
Polynomial with Exponential Term_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60da9df0>>
Polynomial with Exponential Term_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60da99a0>>
Polynomial with Exponential Term_0_48,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_49,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_50,tanh(2*x),tensor(0.2090),-13.322316630993136
Polynomial with Exponential Term_0_51,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_52,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_53,tan(x),tensor(0.2090),-13.320863778799232
Polynomial with Exponential Term_0_54,2*x*cos(x),tensor(0.2091),-13.304885593162139
Polynomial with Exponential Term_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0f4ac0>>
Polynomial with Exponential Term_0_56,exp(x + asinh(x)),tensor(0.2476),-8.230442038217916
Polynomial with Exponential Term_0_57,sin(x) + cos(x),tensor(0.2239),-11.013512384390374
Polynomial with Exponential Term_0_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5e9e50>>
Polynomial with Exponential Term_0_59,x + cos(x),tensor(0.2240),-10.998735516726084
Polynomial with Exponential Term_0_60,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_61,x*sin(log(7)),tensor(0.2088),-13.363378395823544
Polynomial with Exponential Term_0_62,x - exp(x),tensor(0.1890),-17.41490976326487
Polynomial with Exponential Term_0_63,tan(x),tensor(0.2090),-13.320863778799232
Polynomial with Exponential Term_0_64,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6dad9040>>
Polynomial with Exponential Term_0_66,x*cos(1),tensor(0.2084),-13.429007438528002
Polynomial with Exponential Term_0_67,x + sinh(x),tensor(0.2093),-13.274666345730614
Polynomial with Exponential Term_0_68,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_69,x*tanh(x) + x,tensor(0.2145),-12.408350459292363
Polynomial with Exponential Term_0_70,x + sin(x),tensor(0.2093),-13.277306505882542
Polynomial with Exponential Term_0_71,6*x,tensor(0.2045),-14.139873812731707
Polynomial with Exponential Term_0_72,x*cos(5) + x,tensor(0.2090),-13.319422375300837
Polynomial with Exponential Term_0_73,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_74,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_75,sinh(x) + 2,tensor(0.2504),-7.957575232356458
Polynomial with Exponential Term_0_76,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_77,sin(3*x),tensor(0.2088),-13.360627765406855
Polynomial with Exponential Term_0_78,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_79,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_80,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_81,x + tanh(2*x),tensor(0.2093),-13.270067119374195
Polynomial with Exponential Term_0_82,x + tanh(x),tensor(0.2093),-13.278876936519318
Polynomial with Exponential Term_0_83,asin(x),tensor(0.2090),-13.332163607757057
Polynomial with Exponential Term_0_84,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_85,x + tan(x),tensor(0.2093),-13.276116620844062
Polynomial with Exponential Term_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698ff520>>
Polynomial with Exponential Term_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698ff400>>
Polynomial with Exponential Term_0_88,x + sin(x),tensor(0.2093),-13.277306505882542
Polynomial with Exponential Term_0_89,x + cos(asinh(x)),tensor(0.2246),-10.9248704084435
Polynomial with Exponential Term_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698fffd0>>
Polynomial with Exponential Term_0_91,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698ff7f0>>
Polynomial with Exponential Term_0_93,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_94,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_95,2*x + (x - 4)*sin(x),tensor(0.2101),-13.134477873549805
Polynomial with Exponential Term_0_96,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_97,x*asinh(2*x),tensor(0.2183),-11.821414918110033
Polynomial with Exponential Term_0_98,5*x + sin(x),tensor(0.2047),-14.096150359223568
Polynomial with Exponential Term_0_99,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698ff070>>
Polynomial with Exponential Term_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0f4d60>>
Polynomial with Exponential Term_0_102,sin(2*x),tensor(0.2090),-13.316850106856986
Polynomial with Exponential Term_0_103,x*sin(1),tensor(0.2087),-13.376770454519598
Polynomial with Exponential Term_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0f42e0>>
Polynomial with Exponential Term_0_105,sin(x),tensor(0.2088),-13.366914051646967
Polynomial with Exponential Term_0_106,x,tensor(0.2088),-13.353563694747068
Polynomial with Exponential Term_0_107,sinh(2*x),tensor(0.2090),-13.322084309613965
Polynomial with Exponential Term_0_108,sin(2*x),tensor(0.2090),-13.316850106856986
