Quadratic Equation_0_0,3*exp(x)/x,tensor(0.0628),-221.73495425048935
Quadratic Equation_0_1,x*sin(1),tensor(0.2844),-5.328832068276668
Quadratic Equation_0_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0388e0>>
Quadratic Equation_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1c9460>>
Quadratic Equation_0_4,2*exp(x),tensor(0.3288),-3.168581140515248
Quadratic Equation_0_5,x*sin(x)**2,tensor(0.2875),-5.139499664766691
Quadratic Equation_0_6,2*x + exp(x),tensor(0.2882),-5.1001758569449835
Quadratic Equation_0_7,exp(x + 3),tensor(0.1177),-55.24422507858937
Quadratic Equation_0_8,x + Abs(x),tensor(0.2963),-4.638358488982712
Quadratic Equation_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a46d0>>
Quadratic Equation_0_10,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1d8130>>
Quadratic Equation_0_12,x*(x**2 + x),tensor(0.2958),-4.665247793113821
Quadratic Equation_0_13,sinh(4*x)/2,tensor(0.2218),-11.307653265426673
Quadratic Equation_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1b2d90>>
Quadratic Equation_0_15,log(x)**2,tensor(0.),0
Quadratic Equation_0_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1a4e20>>
Quadratic Equation_0_17,x + 2*cos(x),tensor(0.3253),-3.3011293021805255
Quadratic Equation_0_18,x*sin(x/4) + x,tensor(0.2853),-5.276163793839782
Quadratic Equation_0_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03ffd0>>
Quadratic Equation_0_20,x*(x**2 + 1/x),tensor(0.3125),-3.838638553114307
Quadratic Equation_0_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03f550>>
Quadratic Equation_0_22,-2*x + exp(x),tensor(0.3360),-2.906413052179252
Quadratic Equation_0_23,2*exp(x),tensor(0.3288),-3.168581140515248
Quadratic Equation_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec16efd0>>
Quadratic Equation_0_25,tan(5*x),tensor(0.1901),-17.16138962441142
Quadratic Equation_0_26,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_27,x*cos(x) - x,tensor(0.2941),-4.761972625508553
Quadratic Equation_0_28,x + cos(x),tensor(0.3032),-4.28007129327045
Quadratic Equation_0_29,x*tan(5),tensor(0.3151),-3.723156195903618
Quadratic Equation_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1778e0>>
Quadratic Equation_0_31,4*exp(x),tensor(0.3353),-2.9309432892861875
Quadratic Equation_0_32,x**2,tensor(0.3017),-4.359611987065281
Quadratic Equation_0_33,exp(x**3)/2,tensor(0.3030),-4.289333789754085
Quadratic Equation_0_34,5 - x,tensor(0.5094),0.0725025149466546
Quadratic Equation_0_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec03fb80>>
Quadratic Equation_0_36,3*x + 3,tensor(0.3293),-3.1493663441502555
Quadratic Equation_0_37,x - 4,tensor(0.2101),-13.129458815475404
Quadratic Equation_0_38,x + sin(x) + 3,tensor(0.3498),-2.455290914359218
Quadratic Equation_0_39,x*atan(x),tensor(0.3002),-4.4356334317157025
Quadratic Equation_0_40,sinh(x)**2,tensor(0.3039),-4.246154973389742
Quadratic Equation_0_41,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_42,sin(3*x),tensor(0.2829),-5.428199231369043
Quadratic Equation_0_43,x**3 - x,tensor(0.2948),-4.721329105848443
Quadratic Equation_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc16c820>>
Quadratic Equation_0_45,(x + 3)**2,tensor(0.3028),-4.301082598986124
Quadratic Equation_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec038df0>>
Quadratic Equation_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0385e0>>
Quadratic Equation_0_48,x*(x + sin(x)),tensor(0.3109),-3.914597388478586
Quadratic Equation_0_49,sin(x) - 4,tensor(0.2105),-13.069155364952076
Quadratic Equation_0_50,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c06eca0>>
Quadratic Equation_0_52,exp(x),tensor(0.3124),-3.8465782597236524
Quadratic Equation_0_53,x*(x + 18),tensor(0.1626),-25.531495835935118
Quadratic Equation_0_54,x*cosh(x),tensor(0.2801),-5.60258347652849
Quadratic Equation_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f64084fd0>>
Quadratic Equation_0_56,x + cos(x) + 1,tensor(0.3309),-3.0892227839018593
Quadratic Equation_0_57,2*x + 3,tensor(0.3479),-2.5132820416699766
Quadratic Equation_0_58,x + exp(x) + 1,tensor(0.3252),-3.3070815259797506
Quadratic Equation_0_59,2*x + 3,tensor(0.3479),-2.5132820416699766
