Square Root with Quadratic Term_0_0,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_1,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_2,x**2 + sin(x),tensor(0.0901),-101.0929758817022
Square Root with Quadratic Term_0_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f6404d640>>
Square Root with Quadratic Term_0_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f64084310>>
Square Root with Quadratic Term_0_5,tanh(2*x),tensor(0.0796),-132.76722854131555
Square Root with Quadratic Term_0_6,4*x + 4,tensor(0.0878),-106.98473416773994
Square Root with Quadratic Term_0_7,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_8,exp(x) + 4,tensor(0.0896),-102.2667135859281
Square Root with Quadratic Term_0_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bb2b0>>
Square Root with Quadratic Term_0_10,10*cos(x),tensor(0.0416),-530.3790498469248
Square Root with Quadratic Term_0_11,3*x + exp(x),tensor(0.0766),-144.35095355281635
Square Root with Quadratic Term_0_12,8/x,tensor(0.0021),-222994.79738088985
Square Root with Quadratic Term_0_13,acosh(2*x + 3),tensor(0.1680),-23.51998943555232
Square Root with Quadratic Term_0_14,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_15,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_16,cosh(x + 2),tensor(0.0798),-132.11927189941724
Square Root with Quadratic Term_0_17,tan(2*x + 4),tensor(0.0402),-568.2005435756
Square Root with Quadratic Term_0_18,x + exp(x + 2),tensor(0.0310),-973.7835969582762
Square Root with Quadratic Term_0_19,-sin(x - 4),tensor(0.0681),-186.4695302792214
Square Root with Quadratic Term_0_20,4*x + 4,tensor(0.0878),-106.98473416773994
Square Root with Quadratic Term_0_21,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_22,x + 110,tensor(0.0023),-186391.74826821056
Square Root with Quadratic Term_0_23,x*(x + 3)*exp(x),tensor(0.0686),-183.2855082186593
Square Root with Quadratic Term_0_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0f40a0>>
Square Root with Quadratic Term_0_25,x + 4*exp(x),tensor(0.0635),-216.24577893207012
Square Root with Quadratic Term_0_26,x + exp(x + 2),tensor(0.0310),-973.7835969582762
Square Root with Quadratic Term_0_27,x**3 + 4,tensor(0.1575),-27.625704544322026
Square Root with Quadratic Term_0_28,x**3 + 4,tensor(0.1575),-27.625704544322026
Square Root with Quadratic Term_0_29,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e689711c0>>
Square Root with Quadratic Term_0_31,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_32,log(x + 4),tensor(0.1534),-29.448832196198445
Square Root with Quadratic Term_0_33,x*(3*x + 4),tensor(0.0733),-158.94270797413796
Square Root with Quadratic Term_0_34,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_35,x + 9,tensor(0.0381),-635.5344127875958
Square Root with Quadratic Term_0_36,x + 5,tensor(0.0967),-86.23371615775852
Square Root with Quadratic Term_0_37,(x + 4)**3,tensor(0.0036),-76874.5497050657
Square Root with Quadratic Term_0_38,x + 6,tensor(0.0701),-174.93474002794215
Square Root with Quadratic Term_0_39,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_40,x**2 + x*cos(5),tensor(0.0927),-94.76213591486561
Square Root with Quadratic Term_0_41,x**2*cos(x),tensor(0.0908),-99.29697710119206
Square Root with Quadratic Term_0_42,x*sin(2*x),tensor(0.0970),-85.61050637474607
Square Root with Quadratic Term_0_43,(x + 3)**2,tensor(0.0333),-843.3440197183868
Square Root with Quadratic Term_0_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bb670>>
Square Root with Quadratic Term_0_45,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bbd30>>
Square Root with Quadratic Term_0_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bbf40>>
Square Root with Quadratic Term_0_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0e4910>>
Square Root with Quadratic Term_0_49,3*exp(3*x),tensor(0.0160),-3760.023796651042
Square Root with Quadratic Term_0_50,x**2*exp(2),tensor(0.0923),-95.68844024911539
Square Root with Quadratic Term_0_51,x**2*exp(x),tensor(0.0936),-92.85886681936688
Square Root with Quadratic Term_0_52,x + cosh(3),tensor(0.0328),-869.8457496951488
Square Root with Quadratic Term_0_53,-x + tan(x),tensor(0.0832),-120.53859518249834
Square Root with Quadratic Term_0_54,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc0e4b80>>
Square Root with Quadratic Term_0_56,x + exp(x + 2),tensor(0.0310),-973.7835969582762
Square Root with Quadratic Term_0_57,x + 1,tensor(0.1173),-55.59062259219511
Square Root with Quadratic Term_0_58,x + 10,tensor(0.0331),-853.8998374238481
Square Root with Quadratic Term_0_59,log(x + 1),tensor(0.0712),-169.4158335040926
Square Root with Quadratic Term_0_60,x,tensor(0.0806),-128.970099679597
Square Root with Quadratic Term_0_61,x + 10,tensor(0.0331),-853.8998374238481
Square Root with Quadratic Term_0_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68971be0>>
Square Root with Quadratic Term_0_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0f4640>>
Square Root with Quadratic Term_0_64,x + 4,tensor(0.1524),-29.94879247909198
Square Root with Quadratic Term_0_65,5*x*asinh(x),tensor(0.1154),-57.77662530083479
Square Root with Quadratic Term_0_66,8*x**4,tensor(0.0884),-105.29016689901938
Square Root with Quadratic Term_0_67,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_68,cos(x) + 1,tensor(0.2203),-11.532065365251723
Square Root with Quadratic Term_0_69,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_70,x + 7,tensor(0.0548),-296.0518640896429
Square Root with Quadratic Term_0_71,x + 6,tensor(0.0701),-174.93474002794215
Square Root with Quadratic Term_0_72,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_73,(x + 3)**2,tensor(0.0333),-843.3440197183868
Square Root with Quadratic Term_0_74,x + 9,tensor(0.0381),-635.5344127875958
Square Root with Quadratic Term_0_75,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_76,x + cos(x),tensor(0.1095),-65.15280807137799
Square Root with Quadratic Term_0_77,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c098e80>>
Square Root with Quadratic Term_0_79,(x + 3)**4,tensor(0.0022),-209323.62987267663
Square Root with Quadratic Term_0_80,5*exp(x),tensor(0.0534),-313.82372357625087
Square Root with Quadratic Term_0_81,x + 8,tensor(0.0450),-449.58508834286084
Square Root with Quadratic Term_0_82,(x + 3)**2,tensor(0.0333),-843.3440197183868
Square Root with Quadratic Term_0_83,1,tensor(0.),0
Square Root with Quadratic Term_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c098400>>
Square Root with Quadratic Term_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1f30a0>>
Square Root with Quadratic Term_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1f3880>>
Square Root with Quadratic Term_0_87,x*exp(-1),tensor(0.0830),-121.02382004438805
Square Root with Quadratic Term_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e900786d0>>
Square Root with Quadratic Term_0_89,(x + 3)**2,tensor(0.0333),-843.3440197183868
Square Root with Quadratic Term_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f6404d040>>
Square Root with Quadratic Term_0_91,5*x + cos(x),tensor(0.0635),-216.447875051495
Square Root with Quadratic Term_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90078a60>>
Square Root with Quadratic Term_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bb310>>
Square Root with Quadratic Term_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bbca0>>
Square Root with Quadratic Term_0_95,exp(x + 2),tensor(0.0324),-889.0332226371753
Square Root with Quadratic Term_0_96,(x + 3)**3,tensor(0.0081),-15115.884606878473
Square Root with Quadratic Term_0_97,x + 9,tensor(0.0381),-635.5344127875958
Square Root with Quadratic Term_0_98,x + cos(x + 3),tensor(0.0640),-212.71306338515203
