 Nguyen-5_0_0,-x**4/4 + x**3/3 + x,tensor(0.2886),-5.078448609823766
 Nguyen-5_0_1,3*E*x,tensor(0.0811),-127.23780486143804
 Nguyen-5_0_2,x*cosh(x) - x,tensor(0.2697),-6.32929477719616
 Nguyen-5_0_3,sin(4*x**2)/8,tensor(0.2502),-7.979139399449583
 Nguyen-5_0_4,8*x**2,tensor(0.0790),-134.94540842426
 Nguyen-5_0_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1edde50>>
 Nguyen-5_0_6,exp(2*x + 4),tensor(0.0028),-124290.87388679913
 Nguyen-5_0_7,4*log(x),tensor(0.),0
 Nguyen-5_0_8,x**3*sin(x),tensor(0.2296),-10.258825430362162
 Nguyen-5_0_9,x - sin(x + 4),tensor(0.1940),-16.25426749309246
 Nguyen-5_0_10,2*x**(3/2)/3,tensor(0.),0
 Nguyen-5_0_11,4*x + 4*log(x),tensor(0.),0
 Nguyen-5_0_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1eead90>>
 Nguyen-5_0_13,x*exp(5*x),tensor(0.0128),-5906.99509975475
 Nguyen-5_0_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1eed110>>
 Nguyen-5_0_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1eed750>>
 Nguyen-5_1_0,3*x**2/2 + x*sin(x) + cos(x),tensor(0.1226),-50.248693402240015
 Nguyen-5_1_1,x**3/3 + x + 4,tensor(0.0741),-155.01005828339927
 Nguyen-5_1_2,x**14/2 + x**2/2,tensor(0.2268),-10.624332818463046
 Nguyen-5_1_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1eef910>>
 Nguyen-5_1_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d6ad10>>
 Nguyen-5_1_5,sqrt(x) - exp(x),tensor(0.),0
 Nguyen-5_1_6,-2*x**2 + tan(x),tensor(0.3450),-2.6041673560352847
 Nguyen-5_1_7,x**2 + x + 1/x,tensor(0.0657),-201.0762541134071
 Nguyen-5_1_8,sin(x) - cos(x),tensor(0.6014),0.5605635793086451
 Nguyen-5_1_9,x*(x**2 + x) + x,tensor(0.2121),-12.802590327865312
 Nguyen-5_1_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d6b010>>
 Nguyen-5_1_11,1/log(x + 2),tensor(0.0537),-309.3283285417922
 Nguyen-5_1_12,-(-x**4 - 1)**2/3,tensor(0.3542),-2.3253426128646226
 Nguyen-5_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d70bd0>>
 Nguyen-5_1_14,2*x**(7/2)/7 + x**4/4,tensor(0.),0
 Nguyen-5_1_15,3 - x**2,tensor(0.0966),-86.4703530882857
 Nguyen-5_2_0,4*log(x)/x,tensor(0.),0
 Nguyen-5_2_1,(x**2 + x)**2,tensor(0.1850),-18.415796459905273
 Nguyen-5_2_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1da7610>>
 Nguyen-5_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1db7fd0>>
 Nguyen-5_2_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d9a850>>
 Nguyen-5_2_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d9b490>>
 Nguyen-5_2_6,sqrt(x) + exp(x) + 4,tensor(0.),0
 Nguyen-5_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d99d90>>
 Nguyen-5_2_8,x/(x + cos(x)),tensor(0.1266),-46.63399302546215
 Nguyen-5_2_9,x*(-4*x**2 - 2*x + log(x)),tensor(0.),0
 Nguyen-5_2_10,cosh(2*x + 1)/2,tensor(0.1345),-40.4238358272132
 Nguyen-5_2_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1d83850>>
 Nguyen-5_2_12,-x**2 - 16*x,tensor(0.0376),-652.6729791588947
 Nguyen-5_2_13,2*x + sin(3*x**2),tensor(0.1910),-16.950461611333917
 Nguyen-5_2_14,x,tensor(0.2840),-5.357102660773727
 Nguyen-5_2_15,x**2/2 + sin(2*x),tensor(0.2501),-7.9936103152376
 Nguyen-5_3_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1dabb90>>
 Nguyen-5_3_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1f29590>>
 Nguyen-5_3_2,-x**2/2 + x*sinh(2),tensor(0.1748),-21.292302371324745
 Nguyen-5_3_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1df3e50>>
 Nguyen-5_3_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1df97d0>>
 Nguyen-5_3_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1dfac10>>
 Nguyen-5_3_6,-x**5/5 + 2*x**3*log(x)/9,tensor(0.),0
 Nguyen-5_3_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1e041d0>>
 Nguyen-5_3_8,x*tan(3),tensor(0.2526),-7.754229685659158
 Nguyen-5_3_9,x**5/5 - exp(x),tensor(0.2816),-5.510502473222581
 Nguyen-5_3_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1df0290>>
 Nguyen-5_3_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1e070d0>>
 Nguyen-5_3_12,x*(x**2 + 4*x),tensor(0.1259),-47.235446415694824
 Nguyen-5_3_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1e07b90>>
 Nguyen-5_3_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f73f1e08250>>
