2024-01-15 13:55:05,921 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Configure stats pid to 1573362
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Loading settings from /home/augusto/.config/wandb/settings
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Loading settings from /home/augusto/SR_Methods/symbolic/wandb/settings
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/augusto/SR_Methods/symbolic/main.py', 'program': '/home/augusto/SR_Methods/symbolic/main.py'}
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_init.py:_log_setup():526] Logging user logs to /home/augusto/SR_Methods/symbolic/wandb/run-20240115_135505-oafv9n90/logs/debug.log
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_init.py:_log_setup():527] Logging internal logs to /home/augusto/SR_Methods/symbolic/wandb/run-20240115_135505-oafv9n90/logs/debug-internal.log
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_init.py:init():566] calling init triggers
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_init.py:init():616] starting backend
2024-01-15 13:55:05,922 INFO    MainThread:1573362 [wandb_init.py:init():620] setting up manager
2024-01-15 13:55:05,923 INFO    MainThread:1573362 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-15 13:55:05,924 INFO    MainThread:1573362 [wandb_init.py:init():628] backend started and connected
2024-01-15 13:55:05,926 INFO    MainThread:1573362 [wandb_init.py:init():720] updated telemetry
2024-01-15 13:55:05,931 INFO    MainThread:1573362 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-15 13:55:06,252 INFO    MainThread:1573362 [wandb_run.py:_on_init():2254] communicating current version
2024-01-15 13:55:06,347 INFO    MainThread:1573362 [wandb_run.py:_on_init():2263] got version response 
2024-01-15 13:55:06,348 INFO    MainThread:1573362 [wandb_init.py:init():804] starting run threads in backend
2024-01-15 13:55:09,764 INFO    MainThread:1573362 [wandb_run.py:_console_start():2233] atexit reg
2024-01-15 13:55:09,765 INFO    MainThread:1573362 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-15 13:55:09,765 INFO    MainThread:1573362 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-15 13:55:09,765 INFO    MainThread:1573362 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-15 13:55:09,766 INFO    MainThread:1573362 [wandb_init.py:init():847] run started, returning control to user process
2024-01-15 13:55:09,766 INFO    MainThread:1573362 [wandb_run.py:_config_callback():1342] config_cb None None {'trl_ppo_trainer_config': {'exp_name': 'main', 'seed': 42, 'log_with': 'wandb', 'task_name': None, 'model_name': 'augustocsc/gpt-base', 'query_dataset': None, 'reward_model': None, 'remove_unused_columns': True, 'tracker_project_name': 'trl', 'steps': 20000, 'learning_rate': 1.5e-05, 'adap_kl_ctrl': True, 'init_kl_coef': 0.2, 'kl_penalty': 'kl', 'target': 6, 'horizon': 10000, 'gamma': 1, 'lam': 0.95, 'cliprange': 0.2, 'cliprange_value': 0.2, 'vf_coef': 0.1, 'batch_size': 128, 'forward_batch_size': None, 'mini_batch_size': 16, 'gradient_accumulation_steps': 1, 'world_size': 1, 'ppo_epochs': 4, 'max_grad_norm': None, 'optimize_cuda_cache': None, 'optimize_device_cache': False, 'early_stopping': False, 'target_kl': 1, 'compare_steps': 1, 'ratio_threshold': 10.0, 'use_score_scaling': False, 'use_score_norm': False, 'score_clip': None, 'whiten_rewards': False, 'is_encoder_decoder': False, 'is_peft_model': False, 'backward_batch_size': 16, 'global_backward_batch_size': 16, 'global_batch_size': 128, 'total_ppo_epochs': 157}}
2024-01-15 13:56:14,575 WARNING MsgRouterThr:1573362 [router.py:message_loop():77] message_loop has been closed
